yield,net_profit,net_worth,debt_ratio
3.07,2.42,25.68,74.32
4.71,0.79,25.73,74.27
0,-0.56,25.77,74.23
2.88,7.06,25.84,74.16
5.52,2.08,25.98,74.02
2.91,1.08,26,74
1.44,1.75,26.1,73.9
0,-1.1,26.12,73.88
0,-0.02,26.34,73.66
2.94,1.84,26.42,73.58
0,-0.79,26.59,73.41
6.09,8.01,26.67,73.33
4.02,3.19,26.67,73.33
4.9,2.26,26.72,73.28
5.6,0.77,26.82,73.18
1.48,-0.02,26.92,73.08
0,2.45,26.94,73.06
0,2.27,26.94,73.06
0.76,0.46,27.42,72.58
2.34,-0.19,27.45,72.55
1.78,0.26,27.56,72.44
0,-0.18,27.62,72.38
2.37,2.24,27.64,72.36
0,-2.29,27.67,72.33
0,-0.93,27.71,72.29
5.9,1.23,27.76,72.24
4.87,0.78,27.91,72.09
3.69,2.01,27.93,72.07
1.49,1.13,27.95,72.05
2.98,5.86,28.01,71.99
5.33,2.59,28.12,71.88
2.43,2.75,28.21,71.79
4.28,7.77,28.32,71.68
0,-0.39,28.48,71.52
3.45,6.65,28.5,71.5
1.46,18.74,28.57,71.43
0,3.42,28.78,71.22
1.49,0.08,28.79,71.21
0,-0.92,28.79,71.21
0.16,0.7,28.91,71.09
2.15,2.57,29.09,70.91
0,-0.18,29.14,70.86
0,-0.61,29.53,70.47
2.15,1.81,29.62,70.38
4.65,2.14,29.67,70.33
3.46,1.1,29.86,70.14
6.19,0.77,30.02,69.98
0,-1.33,30.06,69.94
4.64,0.36,30.07,69.93
0,1.14,30.11,69.89
0,-0.11,30.23,69.77
0,-0.31,30.26,69.74
1.09,0.9,30.3,69.7
0,2.35,30.41,69.59
0,-2.26,30.43,69.57
0,-0.12,30.46,69.54
2.98,7.14,30.59,69.41
0,0.23,30.68,69.32
0,-0.26,30.7,69.3
4.13,6.27,30.72,69.28
2.73,0.83,30.87,69.13
1.65,0.6,30.87,69.13
0.24,-0.29,30.9,69.1
0.86,0.29,31.07,68.93
0,-1.24,31.1,68.9
0,-0.28,31.11,68.89
0,-0.27,31.14,68.86
2.01,5.91,31.2,68.8
2.47,1.94,31.2,68.8
3.37,0.14,31.2,68.8
13.33,2.08,31.22,68.78
3.74,8.6,31.4,68.6
5.39,6.64,31.41,68.59
0,-0.19,31.46,68.54
0,-2.46,31.47,68.53
0,-0.36,31.57,68.43
3.08,2.39,31.6,68.4
0,0.1,31.67,68.33
0.74,5.2,31.74,68.26
1.44,0.49,31.79,68.21
0,-0.08,32,68
0,-1.28,32,68
1.43,1.75,32.04,67.96
3.62,2.57,32.12,67.88
2.51,1.01,32.15,67.85
0,-0.89,32.29,67.71
3,2.28,32.33,67.67
0,-0.18,32.4,67.6
0,-0.44,32.45,67.55
3.13,0.47,32.58,67.42
1.9,-0.06,32.69,67.31
0,-0.49,32.71,67.29
0,-0.05,32.72,67.28
0,-0.43,32.78,67.22
1.34,-0.55,32.85,67.15
4.92,3.93,32.87,67.13
5.66,1.28,32.88,67.12
2.6,-0.03,33.02,66.98
3.05,1.5,33.12,66.88
3.31,0.77,33.12,66.88
6.45,2.46,33.19,66.81
0,0.78,33.2,66.8
0,-0.16,33.21,66.79
3.61,2.1,33.24,66.76
1.38,1.32,33.24,66.76
0,-0.38,33.25,66.75
1.86,1.06,33.28,66.72
3.58,0.99,33.31,66.69
0,-3.29,33.33,66.67
5.51,4.77,33.34,66.66
2.53,1.4,33.34,66.66
0,-0.24,33.4,66.6
0,2.23,33.55,66.45
1.75,1.1,33.58,66.42
0,-7.95,33.6,66.4
3.42,0.87,33.62,66.38
2.75,6.15,33.71,66.29
5.17,1.27,33.72,66.28
0,-0.64,33.73,66.27
0,0.48,33.81,66.19
0,0.39,33.81,66.19
0,-1.48,33.83,66.17
4.72,2.31,33.85,66.15
4.22,4.09,33.97,66.03
5.21,2.53,34.15,65.85
6.56,2.26,34.22,65.78
0.93,1.08,34.22,65.78
3.58,3.08,34.32,65.68
3.91,7.15,34.47,65.53
3.64,3.96,34.48,65.52
3.28,1.28,34.5,65.5
0,-0.77,34.54,65.46
5.7,1.21,34.64,65.36
3.6,1.77,34.65,65.35
4.1,2.41,34.7,65.3
0,0.12,34.73,65.27
1.28,6.02,34.85,65.15
0,-1.91,34.88,65.12
0,-1.22,34.89,65.11
3.35,-0.53,34.91,65.09
2.87,-0.67,34.94,65.06
2.74,3.57,35.05,64.95
0,1.83,35.09,64.91
3.39,8.28,35.11,64.89
3.12,3.42,35.21,64.79
0.72,0.73,35.22,64.78
0.97,4.17,35.26,64.74
0.7,-0.46,35.34,64.66
0,0.82,35.39,64.61
6.89,4.48,35.47,64.53
0.96,0.32,35.48,64.52
4.32,5.48,35.5,64.5
1.86,0.11,35.52,64.48
4.89,0.67,35.53,64.47
2,2.01,35.55,64.45
3.57,1.84,35.56,64.44
1.59,50.59,35.59,64.41
3.26,2.05,35.61,64.39
2.25,4.48,35.64,64.36
3.87,-0.96,35.7,64.3
0.92,9.16,35.73,64.27
0,-0.93,35.73,64.27
2.19,0.53,35.75,64.25
2.66,1.46,35.79,64.21
2.23,-0.23,35.89,64.11
1.48,0.89,35.98,64.02
2.06,1.4,36.11,63.89
4.04,7.77,36.13,63.87
0.39,0.17,36.18,63.82
0.93,1.07,36.21,63.79
4.11,1.19,36.27,63.73
1.73,0.78,36.29,63.71
4.85,1.71,36.57,63.43
0,-1.71,36.64,63.36
3.01,1.89,36.74,63.26
6.24,0.19,36.78,63.22
3.12,2.74,36.87,63.13
2.79,3.34,36.96,63.04
0.73,0.13,37.03,62.97
6.59,2.53,37.09,62.91
2.19,7.44,37.12,62.88
4.22,0.56,37.14,62.86
3.58,3.9,37.19,62.81
0,-5.35,37.26,62.74
6.22,0.84,37.37,62.63
0,-0.85,37.37,62.63
4.5,2.08,37.43,62.57
1.91,3.75,37.5,62.5
5.42,2.58,37.5,62.5
0,-0.51,37.54,62.46
3.65,0.34,37.69,62.31
2.63,1.9,37.8,62.2
1.51,-0.34,37.82,62.18
3.78,-0.7,37.92,62.08
0.86,1.95,38,62
4.09,0.91,38.03,61.97
0,-0.42,38.05,61.95
0,-0.96,38.1,61.9
5.72,7.21,38.14,61.86
0,2.18,38.21,61.79
2.51,2.09,38.22,61.78
0,-0.24,38.23,61.77
1.95,22.78,38.25,61.75
2.84,14.66,38.3,61.7
0.69,0.73,38.37,61.63
3.51,0.17,38.44,61.56
0,0.12,38.51,61.49
3.47,1.87,38.56,61.44
1.27,-0.88,38.57,61.43
3.39,13.41,38.66,61.34
0,-1.37,38.68,61.32
2.93,4.55,38.75,61.25
3.09,1.99,38.78,61.22
0.39,0.41,38.8,61.2
4.25,2.81,38.81,61.19
4.36,1.37,38.84,61.16
2.95,2.39,38.9,61.1
1.76,0.38,38.9,61.1
1.81,0.47,38.96,61.04
3.25,1.15,39.05,60.95
4.05,6.35,39.11,60.89
0,-3.17,39.14,60.86
2.91,0.86,39.23,60.77
0,-0.69,39.24,60.76
0,-0.46,39.28,60.72
0,-1.22,39.29,60.71
5.04,-0.49,39.31,60.69
4.67,1.01,39.32,60.68
4.46,2.1,39.36,60.64
5.66,0.69,39.42,60.58
2.45,0.86,39.48,60.52
0,-0.56,39.49,60.51
0,0.07,39.51,60.49
7.96,2.05,39.52,60.48
4.86,1.69,39.52,60.48
3.08,3.89,39.53,60.47
3.73,3.95,39.54,60.46
0.48,0.95,39.54,60.46
0,0.27,39.59,60.41
0,0.09,39.63,60.37
0,0.03,39.67,60.33
1.8,8.63,39.73,60.27
5.43,5.65,39.76,60.24
0,0.38,39.77,60.23
3.8,3.37,39.84,60.16
1.83,0.92,39.85,60.15
0.63,-0.97,39.86,60.14
2.69,4.5,39.87,60.13
0.68,0.55,39.96,60.04
5.05,1.54,40.02,59.98
3.09,-0.41,40.09,59.91
0,0.03,40.1,59.9
2.82,0.3,40.21,59.79
0,0.52,40.23,59.77
0,-0.9,40.25,59.75
4.26,-0.2,40.28,59.72
4.26,2.54,40.32,59.68
5.02,1.58,40.38,59.62
0,0.36,40.47,59.53
0,1.16,40.49,59.51
5.15,3.96,40.52,59.48
3.92,3.86,40.55,59.45
2.84,1.11,40.61,59.39
5.26,9.68,40.62,59.38
1.7,0.57,40.63,59.37
1.66,6.76,40.68,59.32
0,-0.56,40.7,59.3
0,-1,40.7,59.3
2.98,19.96,40.72,59.28
6.01,4.16,40.72,59.28
2.91,0.05,40.75,59.25
0,-0.63,40.81,59.19
0,-0.17,40.85,59.15
5.23,6.23,40.88,59.12
2.38,1.13,40.89,59.11
4.24,0.73,40.94,59.06
0,-0.97,40.94,59.06
3.71,0.78,40.95,59.05
2.14,0.6,40.95,59.05
0,0.06,40.95,59.05
3.83,3.32,41,59
2.74,10.29,41.1,58.9
1.12,0.85,41.15,58.85
1.75,0.39,41.15,58.85
3.12,5.62,41.24,58.76
4.52,0.49,41.31,58.69
0,0.14,41.36,58.64
1.83,-0.15,41.43,58.57
4.17,5.27,41.45,58.55
1.52,1.2,41.46,58.54
2.32,1.86,41.47,58.53
0.46,1.3,41.48,58.52
2.65,0.47,41.51,58.49
0.62,0.12,41.52,58.48
0,0.18,41.56,58.44
3.96,0.99,41.58,58.42
4.62,1.43,41.6,58.4
0,-1.86,41.63,58.37
3.1,0.27,41.64,58.36
0,-1.13,41.65,58.35
0.38,1.57,41.67,58.33
1.22,-0.77,41.68,58.32
0.56,0.25,41.72,58.28
3.33,0.07,41.72,58.28
0,-0.11,41.76,58.24
3.42,1.59,41.78,58.22
1.69,1.37,41.78,58.22
1.42,0.46,41.81,58.19
0,-0.31,41.83,58.17
3.15,1.13,41.92,58.08
0.77,1.81,41.93,58.07
2.53,-0.62,41.93,58.07
0,0,42.03,57.97
3.15,8.57,42.05,57.95
0.93,0.72,42.05,57.95
3.23,2.07,42.13,57.87
4.2,0.9,42.31,57.69
2.03,0.96,42.36,57.64
3.16,3.38,42.37,57.63
4.2,1.02,42.45,57.55
1.24,0.01,42.46,57.54
0.75,-0.22,42.57,57.43
3.95,0.17,42.61,57.39
3.4,1.05,42.64,57.36
1.48,0.49,42.64,57.36
2.39,3.62,42.66,57.34
0,-2.64,42.67,57.33
0,-0.17,42.68,57.32
0,-0.98,42.69,57.31
5.4,1.17,42.71,57.29
5.07,3.8,42.73,57.27
1.67,2.64,42.74,57.26
2.96,0.75,42.78,57.22
3.9,2.19,42.84,57.16
0,0.52,42.99,57.01
2.46,-0.05,42.99,57.01
0,0.29,43.18,56.82
2.42,11.22,43.28,56.72
1.81,2.08,43.29,56.71
5.81,2.72,43.3,56.7
4.91,0.91,43.31,56.69
0,-0.46,43.31,56.69
0.83,-0.25,43.35,56.65
4.18,0.7,43.36,56.64
2.07,0.85,43.37,56.63
0,6.12,43.38,56.62
3.95,3.18,43.39,56.61
1.16,0.44,43.39,56.61
2.52,4.12,43.4,56.6
1.03,-0.36,43.42,56.58
3.88,6.1,43.45,56.55
2.9,2.1,43.45,56.55
4.17,-0.84,43.49,56.51
2.59,2.3,43.5,56.5
3.64,1.4,43.53,56.47
3.17,1.96,43.62,56.38
0,-4.78,43.62,56.38
2.25,0.49,43.63,56.37
2.59,0.76,43.64,56.36
0,1.58,43.68,56.32
0,-1.7,43.7,56.3
0.78,-0.44,43.73,56.27
2.55,-0.29,43.84,56.16
3.64,2.63,43.92,56.08
0,-2.53,43.92,56.08
2.1,12.79,43.94,56.06
3.75,-0.02,43.95,56.05
3.64,9.42,43.96,56.04
0,0.17,44,56
5.43,1.77,44.02,55.98
1.03,0.49,44.08,55.92
3.29,5.79,44.1,55.9
0,0.73,44.11,55.89
4.64,4.67,44.12,55.88
3.49,3.91,44.13,55.87
4.3,2.61,44.14,55.86
4.83,1.24,44.17,55.83
1.44,1.23,44.17,55.83
5.77,5.89,44.19,55.81
0,-0.28,44.2,55.8
4.41,0.07,44.3,55.7
0,-0.1,44.33,55.67
6.34,0.05,44.37,55.63
0.7,0.03,44.46,55.54
0,-1.69,44.46,55.54
0.6,0.36,44.47,55.53
2.35,8.63,44.48,55.52
2.44,4.12,44.48,55.52
2.97,0.9,44.51,55.49
5.67,3.47,44.54,55.46
7.56,0.66,44.54,55.46
5.81,1.14,44.58,55.42
0,0.52,44.62,55.38
1.16,0.04,44.68,55.32
4.25,0.32,44.69,55.31
3.74,0.06,44.7,55.3
4.35,1.89,44.73,55.27
2.05,1.46,44.76,55.24
0,0.64,44.76,55.24
0,-0.75,44.8,55.2
5.42,1.91,44.82,55.18
0,1.25,44.83,55.17
4.69,6.83,44.84,55.16
3.8,0.18,44.86,55.14
0,-0.66,44.95,55.05
2.25,3.08,44.96,55.04
1.84,1.34,44.97,55.03
5.22,0.75,44.98,55.02
3.07,0.32,44.98,55.02
0,-0.97,45,55
1.37,0.9,45.01,54.99
0,-0.65,45.04,54.96
2.94,6.41,45.05,54.95
0,0.03,45.05,54.95
7.19,0.86,45.1,54.9
2.21,2.79,45.11,54.89
7.04,2.78,45.13,54.87
5.18,1.22,45.16,54.84
0,1.53,45.23,54.77
3.11,1.08,45.23,54.77
2,0.48,45.24,54.76
2.01,-0.2,45.24,54.76
3.86,1.67,45.25,54.75
0,-0.22,45.27,54.73
5.43,3.39,45.28,54.72
3.05,0.9,45.28,54.72
0,-0.28,45.29,54.71
1.24,0.61,45.31,54.69
0,-0.54,45.33,54.67
3.57,1.16,45.37,54.63
5.45,3.33,45.46,54.54
0,-0.75,45.49,54.51
1.49,-0.25,45.51,54.49
2.94,0.83,45.54,54.46
5.63,3.82,45.55,54.45
0.62,-1.19,45.57,54.43
3.1,0.67,45.58,54.42
2.13,1.56,45.63,54.37
4.2,2.39,45.65,54.35
3.83,0.94,45.67,54.33
2.97,11.24,45.73,54.27
0,-1.57,45.78,54.22
0,0.03,45.79,54.21
0,-0.23,45.86,54.14
2.78,0.53,45.87,54.13
5.65,3.81,45.89,54.11
0,0.16,45.9,54.1
1.18,12.92,45.96,54.04
0,-1.43,45.99,54.01
4.4,3.97,46,54
3.64,1.55,46.02,53.98
0,-0.56,46.04,53.96
2.72,2.38,46.09,53.91
4.6,7.29,46.11,53.89
0.57,0.07,46.11,53.89
2.36,4.27,46.12,53.88
2.53,1.05,46.14,53.86
2.59,0.35,46.14,53.86
0,0.71,46.17,53.83
3.77,1.43,46.18,53.82
3.9,1.71,46.2,53.8
0,0.25,46.25,53.75
0,-0.98,46.27,53.73
3.75,0.43,46.29,53.71
0,-0.09,46.3,53.7
0.75,0.11,46.35,53.65
0,-0.45,46.35,53.65
0,-0.55,46.39,53.61
4.02,0.24,46.46,53.54
0,-0.18,46.46,53.54
0,-0.23,46.53,53.47
1.81,1.25,46.54,53.46
1.29,0.06,46.58,53.42
3.31,1.73,46.6,53.4
0.73,5.97,46.63,53.37
4.52,2.22,46.63,53.37
1.57,1.06,46.76,53.24
3.34,0.07,46.77,53.23
2.11,4.22,46.78,53.22
0,-0.65,46.81,53.19
3.05,1.71,46.89,53.11
3.3,1.09,46.9,53.1
2.5,-0.27,46.98,53.02
0.87,11.72,46.99,53.01
2.8,3.26,47.04,52.96
7.01,0.26,47.04,52.96
2.34,2.92,47.05,52.95
5.38,5.3,47.06,52.94
0,-0.59,47.13,52.87
2.77,2.89,47.15,52.85
4.32,1.93,47.15,52.85
2.77,1.46,47.16,52.84
1.9,4.43,47.19,52.81
6.45,5.3,47.21,52.79
0,1.66,47.21,52.79
1.99,0.75,47.21,52.79
2.11,1.58,47.22,52.78
0,-0.49,47.22,52.78
2.55,0.53,47.28,52.72
0,-0.58,47.3,52.7
0.47,-0.14,47.33,52.67
1.56,2.29,47.34,52.66
3.08,3.11,47.37,52.63
4.63,8.71,47.41,52.59
0,-2.06,47.44,52.56
3.41,-0.08,47.45,52.55
1.85,2.39,47.52,52.48
0,-0.17,47.53,52.47
2.16,-1.85,47.54,52.46
1.27,0.22,47.57,52.43
1.59,2.97,47.6,52.4
1.67,0.61,47.61,52.39
2.75,1.24,47.65,52.35
0,-0.73,47.65,52.35
3.29,7.69,47.67,52.33
4.56,5.82,47.68,52.32
1,-0.02,47.68,52.32
4.6,0.65,47.69,52.31
0.88,1.88,47.72,52.28
3.35,0.25,47.72,52.28
5.03,2.87,47.75,52.25
2.21,-0.04,47.82,52.18
0,-2.18,47.85,52.15
1.69,5.63,47.87,52.13
3.92,4.61,47.88,52.12
0,-1.19,47.91,52.09
1.31,2.2,47.95,52.05
1.19,1.6,47.98,52.02
2.78,1.12,48.11,51.89
4.37,6.45,48.14,51.86
3.16,4.48,48.16,51.84
3.73,0.18,48.16,51.84
2.87,1.89,48.17,51.83
0,3.64,48.18,51.82
0,-1.13,48.25,51.75
3.04,2.58,48.29,51.71
1.35,2.89,48.31,51.69
4.45,1.97,48.37,51.63
2.07,-0.07,48.38,51.62
1.47,12.31,48.39,51.61
0,0.65,48.39,51.61
1.92,0.88,48.4,51.6
2.82,1.98,48.41,51.59
1.54,0.08,48.42,51.58
0,1.6,48.44,51.56
0,1.49,48.44,51.56
1,0.46,48.46,51.54
1.66,-0.08,48.48,51.52
5.04,0.54,48.55,51.45
3.98,10.03,48.56,51.44
2.2,0.7,48.56,51.44
2.16,1.62,48.57,51.43
1.12,0.18,48.61,51.39
0,-0.05,48.62,51.38
5.88,1.74,48.66,51.34
0,-2.91,48.66,51.34
3.85,1.93,48.67,51.33
4.62,2.99,48.68,51.32
0,0.99,48.75,51.25
4.29,0.59,48.78,51.22
3.26,0.64,48.79,51.21
1.08,0.25,48.81,51.19
0,0.22,48.85,51.15
0.96,4.72,48.9,51.1
0,-0.14,48.93,51.07
0.42,1.31,49.04,50.96
0.88,0.03,49.07,50.93
1.38,4.18,49.09,50.91
5.97,0.63,49.09,50.91
4.75,1.53,49.11,50.89
3.79,-1.03,49.12,50.88
0,-0.59,49.14,50.86
1.2,0.53,49.17,50.83
0,-0.98,49.23,50.77
3.03,5.44,49.3,50.7
6.42,1.13,49.31,50.69
6.6,1.62,49.37,50.63
0.72,7.01,49.42,50.58
0,1.72,49.48,50.52
3.49,1.61,49.49,50.51
1.5,0.13,49.51,50.49
0,-0.4,49.54,50.46
3.05,0.76,49.55,50.45
0,-0.13,49.58,50.42
2.27,-0.25,49.61,50.39
2.46,4.22,49.63,50.37
1.47,0.28,49.67,50.33
0.73,0.24,49.67,50.33
1.52,0.01,49.68,50.32
3.93,1.47,49.72,50.28
3.7,1.1,49.72,50.28
0.33,0.26,49.75,50.25
3.32,6.59,49.76,50.24
1.15,1.02,49.76,50.24
0,-0.93,49.77,50.23
3.22,6.07,49.78,50.22
4.18,4.12,49.78,50.22
0,0.21,49.78,50.22
3.56,2.83,49.84,50.16
5.27,1.77,49.87,50.13
2.14,0.29,49.97,50.03
0.82,0.29,49.98,50.02
1.84,1.8,49.99,50.01
4.26,2.53,50.04,49.96
4.56,2.35,50.08,49.92
0,-0.98,50.09,49.91
5.04,3.44,50.13,49.87
0.63,-0.13,50.14,49.86
0.83,7.2,50.22,49.78
2.34,0.92,50.25,49.75
4.1,1.12,50.31,49.69
6.37,4.72,50.39,49.61
0,0.21,50.44,49.56
0,0.02,50.48,49.52
0,0.18,50.51,49.49
5,2.06,50.52,49.48
6.36,1.36,50.54,49.46
2.2,0.54,50.55,49.45
2.32,1,50.59,49.41
5.87,1.88,50.6,49.4
0,0.59,50.62,49.38
0,-0.21,50.65,49.35
0,-0.66,50.65,49.35
3.07,3.22,50.66,49.34
4.55,3.11,50.66,49.34
0,-0.59,50.67,49.33
0,0.8,50.71,49.29
5.28,16.9,50.72,49.28
4.08,-0.62,50.75,49.25
1.58,-1.02,50.75,49.25
4.58,0.95,50.79,49.21
0,-0.75,50.79,49.21
1.69,1.27,50.8,49.2
2.13,1.21,50.88,49.12
0,0.65,50.88,49.12
0,1.76,50.91,49.09
0.42,1.44,50.92,49.08
6.88,2.89,50.93,49.07
0.67,0.8,50.93,49.07
2.92,0.5,50.93,49.07
2.69,2.68,50.95,49.05
0,-0.14,50.95,49.05
5.33,0.57,50.96,49.04
0,-0.29,51.01,48.99
0,-0.04,51.06,48.94
3.7,15.08,51.12,48.88
0,-0.1,51.12,48.88
1.66,6.05,51.13,48.87
1.76,0.01,51.13,48.87
2.49,4.18,51.18,48.82
0.8,0.9,51.19,48.81
0,-0.07,51.19,48.81
2.89,1.46,51.2,48.8
2.34,4.98,51.32,48.68
0,-1.11,51.32,48.68
2.31,-0.09,51.33,48.67
3.03,0.13,51.38,48.62
4.98,3.94,51.39,48.61
3.74,1.65,51.41,48.59
0,0.18,51.42,48.58
0,0.03,51.44,48.56
2.52,0.81,51.47,48.53
4.67,1.94,51.49,48.51
3.13,1.63,51.5,48.5
2.34,0.71,51.5,48.5
4,2.7,51.54,48.46
3.9,0.48,51.55,48.45
0,-0.32,51.57,48.43
2.24,0.47,51.63,48.37
5.06,1.27,51.68,48.32
1.81,18.51,51.7,48.3
5.13,3.72,51.7,48.3
4.99,3.07,51.72,48.28
3.32,15.3,51.73,48.27
1.08,0.85,51.73,48.27
5.24,4.37,51.74,48.26
1.15,0.7,51.74,48.26
0,-0.34,51.74,48.26
2.62,1.87,51.77,48.23
4.07,1.09,51.77,48.23
3.94,0.47,51.83,48.17
7.18,0.97,51.84,48.16
0.62,0.54,51.84,48.16
5.17,2.2,51.89,48.11
0,0.05,51.89,48.11
0.09,0.25,51.91,48.09
3.92,4.62,51.94,48.06
6.1,4.36,51.95,48.05
1.96,1.2,51.98,48.02
3.77,1.94,52.01,47.99
0,-1.66,52.02,47.98
4.49,6.34,52.03,47.97
2.93,0.18,52.04,47.96
4.44,-1.07,52.05,47.95
1.04,0,52.06,47.94
0,-0.27,52.06,47.94
4.63,1.29,52.07,47.93
3.28,1.01,52.08,47.92
2.82,0.19,52.09,47.91
6.9,1.24,52.12,47.88
1.67,2.29,52.17,47.83
0,-0.17,52.24,47.76
2.77,3.58,52.32,47.68
4.92,7.55,52.39,47.61
9.02,1.34,52.39,47.61
0,0.33,52.44,47.56
2.47,0.71,52.45,47.55
5.93,0.49,52.45,47.55
0.48,1.48,52.5,47.5
5.58,7.13,52.51,47.49
3.79,3.39,52.53,47.47
5.31,2.41,52.6,47.4
1.69,0.51,52.72,47.28
0,-0.32,52.72,47.28
3.58,1.62,52.73,47.27
6.36,1.36,52.73,47.27
0,-0.08,52.73,47.27
11.1,2.13,52.85,47.15
0,-0.31,52.86,47.14
2.47,1.89,52.87,47.13
0.93,-0.63,52.87,47.13
3.57,1.08,52.89,47.11
4.7,0.72,52.9,47.1
0,-0.19,52.91,47.09
1.54,1.28,52.94,47.06
1.97,-0.75,52.96,47.04
4.04,4.29,53.01,46.99
4.03,0.98,53.01,46.99
1.36,0.38,53.03,46.97
0.43,0.18,53.05,46.95
3.67,1.59,53.06,46.94
5.42,1.64,53.08,46.92
0,-0.47,53.09,46.91
0,-0.6,53.11,46.89
2.47,4.21,53.16,46.84
4.31,2.05,53.18,46.82
3.05,0.83,53.24,46.76
4.17,2.05,53.25,46.75
6.06,12.01,53.27,46.73
0,-0.57,53.27,46.73
1.29,3.05,53.28,46.72
4.82,2.32,53.31,46.69
4.65,0.97,53.32,46.68
1.5,8.93,53.35,46.65
4.69,0.67,53.36,46.64
4.14,1,53.38,46.62
3.82,1.62,53.4,46.6
0,-0.27,53.45,46.55
3.41,23.23,53.46,46.54
2.54,1.2,53.5,46.5
0,0.07,53.5,46.5
1.88,0.03,53.5,46.5
0.77,11.43,53.51,46.49
2.04,-0.23,53.59,46.41
1.9,5.34,53.61,46.39
7.44,2.3,53.63,46.37
7.08,2.7,53.64,46.36
3.29,0.55,53.67,46.33
0,0,53.74,46.26
0,-0.09,53.75,46.25
2.76,2.92,53.77,46.23
1.22,0.29,53.82,46.18
1.83,2.09,53.84,46.16
2.36,0.73,53.84,46.16
1.78,0.4,53.87,46.13
0,-0.31,53.87,46.13
0,-0.66,53.87,46.13
2.96,1.64,53.89,46.11
0,-2.02,53.91,46.09
2.62,1.77,53.92,46.08
5.08,12.84,53.93,46.07
0.68,12.13,53.94,46.06
4.2,1.22,53.96,46.04
0,0.05,53.97,46.03
2.71,0.32,54.04,45.96
1.84,6.3,54.06,45.94
2.91,1.61,54.06,45.94
0,-0.06,54.06,45.94
0,-1.22,54.06,45.94
0,-1.33,54.06,45.94
5.73,1.11,54.15,45.85
0,0.18,54.17,45.83
4.94,0.7,54.19,45.81
2.33,0.18,54.21,45.79
2.73,10.24,54.28,45.72
1.8,0.94,54.29,45.71
0,0.28,54.33,45.67
