yield,debt,total,roa,class
0,69.14,-0.84,-0.57,1
2.59,69.1,-2.02,1.01,2
0,69.05,-6.44,-7.17,1
0,69.03,-11.05,-6,1
1.52,68.89,6.47,6.37,2
0,68.85,3.25,-1.66,1
0,68.79,20.64,-5.72,1
0,68.75,5.91,-1.47,1
4.17,68.73,6.17,4.51,3
3.08,68.64,21.67,8.29,3
5.29,68.6,0.97,5.69,4
1.24,68.58,19.86,4.35,2
0,68.52,2.78,-0.5,1
0,68.46,26.71,-14.05,1
0,68.45,-3.4,-2.3,1
2,68.42,16.22,0.78,2
0,68.37,19.85,-1.78,1
3.6,68.26,2.11,2.06,3
15,68.24,-12.86,16.98,6
0,68.13,36.86,14.95,1
2.72,68.07,-4.65,0.83,2
3.72,68.05,19.27,3.96,3
0,67.86,-15.66,-15.81,1
5.63,67.84,-5.43,2.02,4
2.58,67.82,2.4,1.42,2
0,67.49,4.37,-2.63,1
0,67.35,0.45,-4.88,1
0.95,67.31,4.02,-0.27,1
6.66,67.25,0.11,3.94,4
2.64,67.24,13.03,8.32,2
1.9,67.15,-0.99,2.32,2
0.66,67.1,-6.84,0.42,1
6.25,67.05,128.73,23.02,4
0,67.01,4.73,-3.49,1
0.95,66.99,-0.32,-0.8,1
3.11,66.98,20.83,0.28,3
2.24,66.85,-1.49,-1.44,2
0,66.84,-40.22,-3.84,1
0,66.81,-26.03,0.64,1
0,66.69,-6,-2.82,1
0,66.65,-10.12,-1.65,1
0,66.62,7.39,-5.2,1
0,66.61,3.14,2.26,1
1.87,66.55,31.76,7.31,2
0,66.41,-9,-6.44,1
0,66.38,-5.43,-3.79,1
0,66.37,10.16,-15.16,1
0,66.37,-38.02,-35.54,1
3.19,66.37,8.9,0.98,3
4.34,66.32,42.91,9.84,3
1.42,66.28,-0.34,0.7,2
0,66.25,4.33,4.26,1
5.94,66.25,29.7,22.6,4
6.59,66.24,0.97,3.55,4
3.11,66.17,-11.29,-4.79,3
0,66.14,-6.23,-3.6,1
2.24,66.12,-6.87,1.08,2
6.09,66.09,18.6,5.86,4
0,66.04,-7.97,-62.84,1
0,65.99,4,3.13,1
2.5,65.98,-2.58,3.4,2
3.35,65.9,12.92,5.24,3
0,65.88,-9.89,-11.58,1
0,65.65,-16.25,-9.94,1
0,65.65,-9.51,-57.07,1
2.31,65.6,102.68,18.02,2
2.85,65.55,12.32,2.91,2
3.36,65.52,8.35,8.52,3
2.72,65.44,13.87,5.3,2
0,65.43,43.76,1.26,1
4.09,65.43,12.14,2.24,3
0,65.25,28.26,-5.62,1
4.27,65.23,-3.34,2.61,3
5.51,65.21,2.41,3,4
0,65.2,14.55,-1.68,1
4.14,65.18,7.59,1.31,3
2.89,65.16,24.27,3.83,2
2.88,65.09,4.23,8.95,2
0,64.93,-8.68,0.69,1
2.61,64.92,0.14,2.75,2
2.57,64.91,3.41,2.35,2
0,64.89,-4.5,-3.65,1
2.33,64.89,38.77,3.25,2
6.1,64.87,-27.85,3.93,4
0,64.85,-2.92,-14.16,1
0,64.84,1.87,-5.54,1
3.42,64.84,11.5,10.77,3
2.13,64.83,4.81,2.07,2
0,64.81,-4.79,-9.33,1
1.39,64.77,-8.19,1.59,2
6.17,64.66,-1.92,5.85,4
6.07,64.65,7.21,3.95,4
1.03,64.57,112.11,4.19,2
5.72,64.56,3.33,7.2,4
4.93,64.51,18.19,7.74,3
2.76,64.4,6.86,1.74,2
0,64.39,-21.74,-3.75,1
6.75,64.32,14.47,4.92,4
0.36,64.2,-4.61,-1.95,1
7.78,64.2,10.13,6.17,5
0,64.09,49.93,3.04,1
2.91,64.06,7.52,13.3,2
4.19,64.03,13.75,3.58,3
1.46,63.95,-4.77,1.34,2
2.08,63.93,18.51,8.24,2
3.09,63.89,6.05,6.54,3
2.59,63.84,15.95,5.95,2
0,63.78,-2.64,1.98,1
2.29,63.71,-3.04,2.52,2
4.49,63.64,14.69,8.56,3
3.35,63.56,6.16,4.66,3
3.7,63.26,-21.11,3.23,3
8.17,63.22,-1.68,8.66,5
1.87,63.18,-17.65,0.45,2
4.94,63.17,-0.83,3.89,3
0,63.03,-34.35,-7.96,1
0,63.02,20.72,3.4,1
4.96,63.01,4.19,3.66,3
1.06,62.93,-1.98,3.55,2
0,62.88,288.32,10.42,1
1.14,62.78,15.9,8.23,2
7.33,62.75,6.87,7.23,5
6.35,62.73,-11.91,-6.61,4
0,62.65,-52.19,-3.01,1
5.72,62.65,3.7,6.6,4
3.44,62.58,7.95,3.39,3
2.29,62.57,-0.69,-2.99,2
5.23,62.55,1.3,5.89,4
2.68,62.4,6.37,0.51,2
4.2,62.3,-0.14,0.48,3
0,62.26,-0.08,5.52,1
5.19,62.26,36.74,2.88,4
1.82,61.98,-8.06,-0.55,2
3.98,61.97,26.22,9.36,3
5.51,61.95,7.8,5.75,4
0,61.93,15.89,-3.94,1
7.78,61.9,-6.73,3.86,5
3.83,61.85,13.46,7.02,3
5.26,61.81,6.66,9.05,4
3.1,61.73,6.16,7.24,3
0,61.67,-9.65,-3.76,1
3.95,61.63,129.39,21.31,3
0,61.62,-3.99,0.32,1
3.54,61.56,25.84,6.55,3
2.97,61.51,10.42,6.95,2
2.57,61.5,3.66,6.91,2
1.8,61.47,20.91,4.3,2
4.76,61.43,11.56,3.37,3
6.8,61.39,5.38,5.19,4
0.9,61.38,27.27,2.11,1
4.11,61.35,-3.68,6.09,3
0,61.32,-7.53,-10.19,1
6.38,61.31,31.69,6.19,4
0,61.3,-31.38,3.35,1
0,61.28,28.58,-7.26,1
0,61.27,54.25,-4.94,1
3.47,61.26,28.25,8.9,3
9.67,61.15,1.54,5.61,6
0,61.04,12.92,-0.64,1
2.65,61.02,2.7,5.26,2
1.78,61.01,13.63,12.89,2
1.17,61,9.11,3.64,2
0.59,60.92,-2.29,-1.75,1
0,60.87,10.62,-3.76,1
0,60.87,7,-18.79,1
0,60.82,7.3,-14.39,1
4.41,60.82,6.28,4.76,3
5.32,60.75,4.48,3.54,4
0,60.69,3.97,-2.71,1
0,60.6,10.89,-4.09,1
1.98,60.6,7.56,1.99,2
0,60.5,-10.4,0.12,1
1.92,60.45,6.03,3.24,2
3.06,60.45,-2.57,5.25,3
3.11,60.45,19.36,8.8,3
1.68,60.4,-2.61,1.41,2
2.95,60.35,15.95,3.79,2
6.36,60.34,25.71,10.82,4
4.58,60.22,-12.44,3,3
0,60.14,-5.16,-3.53,1
1.84,60.12,13.32,8.45,2
10.98,60.06,-18.28,7.32,6
0,60.05,12.84,2.5,1
5.3,60.02,-2.65,4.5,4
2.34,59.96,1.61,0.3,2
0,59.93,-11.28,-5.76,1
0,59.93,-12.12,-25.83,1
5.49,59.89,-18.47,4.06,4
5.63,59.83,17.51,12.73,4
0,59.81,-7.35,-1.93,1
5.34,59.81,-8.48,4.55,4
3.37,59.8,4.5,4.14,3
2.14,59.78,30.31,18.7,2
1.07,59.7,-15.11,0.88,2
0.55,59.66,7.53,2.56,1
2.45,59.66,11.24,5.12,2
0,59.65,-19.06,-4.34,1
5.72,59.65,48.3,17.6,4
1.63,59.63,-12.93,6.54,2
0,59.62,2.11,0.29,1
1.4,59.55,2.09,1.01,2
4.2,59.55,9.99,10.92,3
4.62,59.45,3.05,5.41,3
2.48,59.43,12.4,0.99,2
2.53,59.42,-2.84,0.13,2
1.34,59.39,26.36,13.22,2
2.56,59.37,-3.96,-1.96,2
3.7,59.34,14.36,5.75,3
5.51,59.3,2.06,6.86,4
0,59.29,-3.41,-2.28,1
0,59.25,-8.13,0.36,1
7.37,59.23,9.91,6.36,5
5.21,59.2,-11.86,4.35,4
5.53,59.19,5.5,4.02,4
2.27,59.1,34.77,15.4,2
2.34,59.1,9.37,8.26,2
0.74,59.07,65.26,3.53,1
2.06,59.07,3.37,2.99,2
5.91,58.98,-1.5,5,4
9.07,58.92,5.77,10.17,6
0,58.91,-4.32,-3.65,1
3.33,58.86,-17.29,0.85,3
4.36,58.85,5.44,1.31,3
3.43,58.84,1.68,1.04,3
0,58.83,0.61,0.01,1
0.69,58.8,8,-0.35,1
3.65,58.77,19.54,5.6,3
0,58.73,14.81,-2.1,1
0,58.7,-9.86,-0.34,1
4.29,58.66,-2.45,3.78,3
4.92,58.58,-0.6,3.22,3
0,58.53,-5.03,-3.99,1
2.33,58.51,18.82,3.69,2
7.17,58.48,12.44,9.29,5
0,58.44,-67.37,-68.95,1
5.2,58.44,17.51,10.7,4
3.91,58.43,24.17,1.27,3
0.68,58.37,-12.55,0.87,1
0.9,58.36,-3.22,-1.85,1
1.06,58.29,5.21,1.72,2
0,58.28,-8.13,-3,1
3.6,58.26,-3.51,3,3
4.39,58.24,-4.94,1.5,3
1.62,58.23,-3.9,2.21,2
1.56,58.2,-13.76,-0.28,2
0,58.1,0.51,0.27,1
0,58.07,34,-5.95,1
4.61,58.05,5.51,4.4,3
0,58.04,-1.34,-4.4,1
0,58,-3.65,-1.34,1
0,57.97,-10.77,0.33,1
1.68,57.95,0.88,2.35,2
3.97,57.95,9.2,6.8,3
1.41,57.94,60.77,2.17,2
0,57.93,5.05,-0.21,1
2.46,57.85,11.42,5.95,2
3.64,57.84,-0.37,7.53,3
6.09,57.78,9.04,4.24,4
5.41,57.76,41.59,10.02,4
2.91,57.75,3.88,2.71,2
0,57.73,-5.65,-0.98,1
0,57.73,20.86,3.85,1
5.38,57.71,25.71,10.66,4
3.24,57.68,-6.81,-2.34,3
12.23,57.68,-2.87,15.94,6
0,57.58,172.45,-9.87,1
3.02,57.45,6.95,4.57,3
5.2,57.45,16.02,9,4
5.44,57.43,-6.79,12.9,4
3.46,57.41,50.01,2.79,3
3.82,57.41,-5.91,4.7,3
4.31,57.35,-2.72,3.35,3
4.62,57.34,-2.24,11.45,3
0,57.3,-35.98,-2.02,1
5.17,57.2,-4.7,2.98,4
3.45,57.15,6.8,3.53,3
0,57.09,-4.59,-2.51,1
2.72,57.07,-9.53,3.9,2
3.88,57,53.16,22.28,3
0,56.92,6.3,-12.85,1
2.75,56.92,-1.54,1.73,2
3.84,56.88,96.57,21.01,3
4.94,56.88,-0.87,-4.95,3
5.55,56.88,0.22,0.88,4
3.91,56.79,10.05,11.25,3
1.74,56.64,26.72,6.54,2
0,56.61,-0.84,0.31,1
3.97,56.54,3.27,4.09,3
4.28,56.51,3.31,6.14,3
2.79,56.47,-3.14,-2.43,2
0,56.41,-11.36,-2.67,1
0.99,56.41,-5.42,-1.61,1
3.81,56.39,0.27,0.29,3
4.32,56.31,9.27,6.09,3
6.93,56.23,3.63,8.55,4
2.2,56.21,13.71,9.42,2
0,56.14,20.43,-32.58,1
5,56.13,-18.6,2.41,3
1.74,56.11,-0.5,0.56,2
4.64,56.06,2.69,2.59,3
0,56,-7.59,-7.52,1
5.31,55.98,15.07,6.91,4
3.77,55.95,5.06,8.39,3
9.92,55.91,21.17,6.88,6
2.53,55.9,10.89,5.57,2
7.02,55.89,-1.88,3.98,5
3.95,55.79,6.26,5.16,3
0,55.78,-18.95,-19.88,1
1.28,55.69,19.86,9.67,2
5,55.65,-0.34,2.79,3
7.54,55.64,-7.59,1.83,5
5.17,55.59,-2.29,5.6,4
2.97,55.57,23.68,8.22,2
5.56,55.54,21.76,7.02,4
2.09,55.49,-4.53,2.28,2
1.91,55.48,22.83,17.42,2
2.54,55.48,-1.06,3.49,2
2.74,55.46,9.17,6.33,2
0,55.45,-8.3,-2.86,1
1.7,55.42,-1.22,5.42,2
5.52,55.38,1.5,7.63,4
2.58,55.32,17.31,6.25,2
2.99,55.32,1.06,6.87,2
3.32,55.29,114.47,8.32,3
0.58,55.27,2.99,5.31,1
2.2,55.24,1.81,7.87,2
3.24,55.24,-6.17,1.43,3
4.54,55.17,-3.51,3.33,3
0.87,55.1,-0.05,0.28,1
4.62,55.03,1.03,5.73,3
3.48,55.02,1.82,4.47,3
1.64,55.01,5.38,4.06,2
1.51,55,16.78,2.29,2
0.59,54.98,-3.39,3.6,1
3.29,54.98,-17.49,8.98,3
3.79,54.98,-5.41,7.15,3
2.56,54.9,-7.63,4.49,2
4.75,54.89,36.52,5.45,3
9.32,54.86,-17.96,12.16,6
4.14,54.83,-0.88,3.21,3
0.61,54.82,11.71,0.01,1
7.38,54.79,3.7,8.3,5
1.14,54.75,23.24,1.84,2
2,54.74,2.38,-0.17,2
1.35,54.67,15.59,0.86,2
0,54.6,4.13,-1.54,1
0,54.59,15.19,-2.31,1
2.87,54.58,-2.69,1.72,2
6.04,54.58,3.38,5.67,4
2.9,54.57,5.45,3.76,2
0,54.55,-13.5,-9.55,1
2.91,54.54,2.9,15.4,2
0,54.53,5.51,1.26,1
4.94,54.52,5.1,1.86,3
1.11,54.48,4.31,-0.26,2
4.02,54.45,3.75,2.72,3
6.36,54.44,15.9,8.81,4
0,54.42,-17.1,-7.16,1
3.21,54.41,-7.26,9.27,3
3.56,54.41,20.01,5.56,3
0,54.4,-16.09,-11.39,1
0,54.39,-32.79,-26.69,1
1.44,54.38,39.03,16.58,2
1.82,54.34,1.36,1.55,2
0,54.3,-11.78,-11.34,1
1.78,54.28,0.76,1.38,2
4.29,54.25,3.81,12.6,3
2.03,54.21,-2.59,-0.53,2
1.19,54.19,29.08,4.86,2
0,54.18,-2.28,1.83,1
0,54.17,5.6,-6.17,1
0,54.16,-8.39,-3.11,1
0,54.11,-15.69,-2.56,1
2.69,54.11,11.05,6.18,2
3.94,54.08,-7.94,4.63,3
0.8,54.06,-0.54,16.55,1
5.64,54.06,6.73,14.81,4
6.13,54,-5.61,11.24,4
4.14,53.97,9.39,11.07,3
0,53.94,6.53,-1.2,1
4.33,53.88,2.05,3.1,3
4.2,53.87,-0.45,3.96,3
0,53.86,3.9,-2.25,1
0,53.85,-4.44,-7.72,1
7.46,53.85,13.28,13.2,5
2.69,53.83,10.96,6.78,2
2.52,53.82,29.22,6.73,2
3.78,53.8,3.63,3.26,3
0,53.77,-0.24,-0.5,1
3.74,53.76,-7.01,5.7,3
6.1,53.75,16.99,6.64,4
3.13,53.73,0.45,5.65,3
1.21,53.69,-1.89,3.58,2
0,53.68,-7.63,-3.06,1
5.57,53.68,3.57,9.97,4
5.16,53.61,9.6,8.77,4
1.43,53.58,11.98,2.91,2
0.53,53.57,-2.14,-0.78,1
1.9,53.55,3.47,4.5,2
0,53.54,26.75,-3.13,1
0,53.53,-1.54,-2.94,1
1.58,53.5,-2.62,1.41,2
4.05,53.49,16.31,8.79,3
5.14,53.46,1.36,14.25,4
3.36,53.42,4.43,13.08,3
0,53.38,-15.76,-2.92,1
0,53.36,-6.71,-4.78,1
3.21,53.34,19.56,7.19,3
4.07,53.34,14.25,5.73,3
4.13,53.34,20.61,8.28,3
0,53.28,-12.04,-5.3,1
0,53.15,-6.26,-6.98,1
1.27,53.14,36.47,9.95,2
8.06,53.14,2.72,5.6,5
1.9,53.03,10.06,12.99,2
6.42,53,6.41,13.16,4
3.57,52.99,8.63,9.16,3
0,52.92,-32.21,-4.63,1
4.99,52.89,4.54,7.43,3
2.84,52.87,1.91,3.88,2
0,52.83,-35.92,-47.2,1
0,52.82,-11.12,-4.93,1
2.68,52.79,3.68,2.81,2
0,52.71,0.65,0.97,1
6.16,52.71,0.58,3.86,4
4.92,52.63,30.11,7.4,3
11.47,52.62,4.69,8.73,6
1.98,52.6,-1.88,6.9,2
6.45,52.59,6.91,11.97,4
0.42,52.58,30.12,0.29,1
5.92,52.57,1.73,10.69,4
0,52.47,-17.57,-8.69,1
0.96,52.47,-1.76,0.65,1
4.44,52.47,2.54,6.65,3
2.3,52.46,0.01,13.69,2
3.36,52.43,4.29,6.98,3
0,52.4,-2.42,-0.62,1
0,52.4,-20.31,-4.71,1
2.58,52.39,1.92,3.82,2
0,52.37,3.96,-8.09,1
2.5,52.36,-21.34,2.54,2
0,52.32,-26.65,-12.7,1
8.83,52.3,4.89,8.39,5
3.86,52.28,-5.73,5.01,3
2.28,52.26,8.79,-0.93,2
6.64,52.26,14.25,7.56,4
3.96,52.23,8.77,4.1,3
5.64,52.22,-7.42,8.15,4
0,52.21,-5.19,-2.79,1
1.47,52.19,36.18,10.55,2
0,52.17,2.74,2.82,1
0,52.12,5.61,1.22,1
0,52.05,21.24,0.53,1
4.2,52.01,18.44,4.36,3
2.94,52,-0.19,2.51,2
1.52,51.96,10.17,3.01,2
3.84,51.91,7.18,10.71,3
2.79,51.82,4.9,3.78,2
4.11,51.78,-0.09,10.13,3
0,51.76,-14.81,-15.46,1
3.09,51.76,1.47,3.75,3
4.64,51.72,2.33,4.82,3
7.3,51.71,0.66,6.8,5
2.68,51.7,11.25,10.12,2
3.06,51.69,-0.46,0.8,3
1.17,51.68,0.36,1.37,2
0,51.67,-13.79,-2.68,1
0,51.67,-13.79,-2.68,1
3.23,51.63,9.16,8.81,3
2.04,51.62,-7.35,2.98,2
4.08,51.53,5.95,5.1,3
5.48,51.5,5.87,9.24,4
2.16,51.49,-20.05,-2.63,2
5.39,51.46,-1.78,5.48,4
6.81,51.45,14.78,10.65,4
1.36,51.42,-0.42,1.79,2
6.56,51.42,16.76,10.93,4
0,51.39,-9.37,-5.87,1
4.44,51.37,3.69,10.11,3
4.58,51.32,-5.49,-0.14,3
0,51.31,-5.3,1.51,1
0,51.3,57.9,2.48,1
3.4,51.3,24.29,6.88,3
0,51.26,-6.86,-13.05,1
1.24,51.26,-0.17,1.35,2
1.22,51.19,42.29,0.1,2
0,51.15,-35.71,-5.35,1
3.66,51.13,-6.86,-7.06,3
0.94,51.12,-10.66,-0.53,1
0,51.08,-4.18,-6.39,1
0,51.08,43.12,-6.13,1
3.09,51.03,-0.41,3.88,3
4.62,51.03,21.66,10.14,3
4.45,50.99,-9.05,2.91,3
0,50.98,7.39,5.72,1
5.51,50.96,2.46,12.3,4
6.11,50.95,-38.2,5.44,4
4.89,50.94,9.19,7.35,3
3.76,50.92,3.99,7.06,3
1.75,50.91,-9.46,1.49,2
2.49,50.9,11.52,1.86,2
0,50.79,-9.08,-10.82,1
0,50.79,-4.7,12.34,1
0.38,50.72,-10.26,-0.77,1
3.6,50.7,7.77,7.3,3
0,50.65,-0.03,-0.9,1
4.84,50.64,10.61,10.26,3
0,50.61,-6.34,-9.58,1
3.88,50.58,-21.22,4.85,3
2.96,50.57,7.88,5.92,2
3.29,50.57,-9.12,2.03,3
2.46,50.53,-1.29,10.59,2
0,50.52,4.19,0.09,1
1.45,50.43,-9.36,1.94,2
2.7,50.42,5.09,5.17,2
4.83,50.42,33.06,13.64,3
5.58,50.42,3.03,9.56,4
3.63,50.39,19.77,0.51,3
2.12,50.38,-0.89,4.72,2
3.12,50.32,4.03,2.08,3
0,50.31,8.8,-0.86,1
1.97,50.25,14.49,1.68,2
3.29,50.23,6.1,3.23,3
1.54,50.18,11.17,5.37,2
1.95,50.18,-5.29,3.06,2
6.17,50.18,-0.6,7.39,4
7.23,50.13,32.78,10.36,5
2.03,50.08,-0.75,10.6,2
7.33,50.08,12.55,9.51,5
0,50.05,5.28,-8.25,1
0.85,50.05,-8.15,3.41,1
1.85,50.04,0.91,0.37,2
0,50.02,-42.58,-18.35,1
1.86,50.01,12.49,5.99,2
2.34,50,-5.83,-5.05,2
1.91,49.98,-4.89,1.74,2
0,49.97,-1.85,-6.28,1
0,49.94,42.92,-0.03,1
0,49.91,-7.81,-12.81,1
4,49.9,0.21,4.41,3
6.19,49.9,-2.2,8.04,4
1,49.84,7.48,1.42,1
2.62,49.82,23.15,10.69,2
2.32,49.81,1.42,-0.85,2
0,49.79,-0.42,3.35,1
1.23,49.78,-12.68,-0.45,2
3.86,49.76,24.78,3.9,3
2.29,49.67,1.71,5.6,2
0,49.66,7.99,-7.44,1
3.75,49.6,43.37,18.92,3
2.85,49.59,9.62,6.94,2
1.28,49.58,-0.73,1.05,2
2.07,49.55,26.57,7.44,2
4.51,49.55,-1.63,4.37,3
0.89,49.53,-11.26,1.62,1
7.23,49.51,5.11,5.72,5
4.2,49.49,-10.43,-2.26,3
5.71,49.43,19.47,8.63,4
0,49.41,5.07,-5.1,1
0.75,49.4,0.23,-0.02,1
3.89,49.4,-1.84,6.26,3
6.4,49.38,-18.45,4.5,4
3.24,49.33,24.07,14.22,3
3.45,49.33,22.55,6.74,3
6.64,49.33,-8.91,4.9,4
1.14,49.31,-10.23,2.24,2
3.57,49.28,-2.51,3.06,3
2.26,49.27,-17.07,-0.39,2
