no,EPS,debt,roa,asset,class
3029,1.29,46.69,3.11,1.83,4
4949,-0.7,33.47,-1.83,1.09,3
2404,6.79,80.24,2.89,1.02,5
6928,0.33,33.96,1.18,0.96,4
6689,0.41,49.06,1.2,1.82,4
3694,0.37,45.72,2.91,1.46,4
6112,1.02,59.22,1.79,1.53,4
6505,0.53,22.17,0.86,1.64,4
6703,3.46,53.52,3.81,1.38,4
9910,1.29,47.63,4.66,1.61,4
1309,-0.26,28.85,-0.78,1.67,3
2345,4.02,53.37,8.43,1.24,4
6285,1.58,53.94,2.54,1.47,4
6227,0.93,61.93,1.29,1.6,4
5014,0.56,70.09,2.27,1.26,4
5209,3.77,84.46,2.19,1.43,4
O2329,0.19,49.98,0.72,1.71,4
9105,0.05,66.43,0.43,1.5,4
6123,0.84,52.2,4.01,1.58,4
5434,4.11,56.67,3.24,1.47,4
1225,0.31,50.98,1.02,1.58,4
5278,0.33,70.67,0.99,1.16,4
1219,0.15,52.99,0.35,1.42,4
2616,0,49.22,-0.28,1.38,3
5262,2.05,49.84,7.24,1.65,4
6469,1.5,71.69,1.6,1.54,4
2752,3.9,57.38,4.74,1.58,4
2317,1.59,55.19,2.01,1.37,4
1447,0.22,56.49,-0.16,1.77,4
8044,-0.54,68.3,-0.16,1.42,3
M9700,0.52,25.75,0.98,1.46,4
3028,0.34,73.15,1.18,1.64,4
7708,1.42,54.89,2.31,1.57,4
2643,1.35,30.95,2.97,1.34,4
6728,1.58,68.81,1.5,1.05,4
M2325,1.56,61.5,2.45,1.43,4
2032,0.13,13.11,0.88,1.4,4
3479,1.17,43.44,2.88,1.08,4
6470,0.91,39.29,2.25,0.83,4
3693,5.53,51.03,3.62,0.91,5
2727,3.77,75.04,2.08,1.44,4
3147,2.03,59.94,2.75,1.36,4
6122,0.95,65.35,1.94,1.03,4
1516,0.46,1.28,3.75,2.43,4
4973,1.41,34.4,3.85,1.36,4
2755,1.16,48.39,2.39,1.47,4
2382,3.13,76.2,2.47,1.45,4
1521,0.42,44.04,0.98,1.29,4
6804,0.12,44.67,0.18,0.75,4
3570,3.06,33.94,4.36,1.47,4
6697,0.66,50.41,1.91,1.38,4
6902,0.36,34.88,1.75,1.19,4
6165,0.17,30.52,0.69,1.43,4
1535,0.97,45.25,1.52,1.52,4
3537,1.56,42.1,4.49,1.44,4
4442,0.72,28.15,3.68,1.61,4
8284,1.31,32.58,3.12,1.38,4
2453,0.86,54.31,1.74,1.22,4
5452,0.1,43.05,0.99,1.37,4
2440,-0.04,43.26,2.23,1.43,3
1313,-0.59,49.6,1.98,1.22,3
6811,3.45,62.32,2.55,1.55,4
6196,2.42,73.69,1.22,1.27,4
M2331,1.74,53.36,2.09,1.22,4
2430,0.44,71.27,0.35,1.28,4
5388,2.35,70.92,1.9,1.34,4
2013,0.59,64.51,0.33,1.25,4
5902,0.54,23.49,3.23,1.26,4
3454,0.02,40.5,0.38,1.01,4
6150,-0.68,56.46,-0.83,1.31,3
2937,0.49,65.42,0.68,1.43,4
2719,0.41,35.76,2.85,2.21,4
6577,2.18,39.47,4.22,1,4
3010,1.8,56.03,3.07,1.39,4
2069,-0.51,58.91,-0.35,1.11,3
6881,3.16,56.06,2.56,1.37,4
5903,1.17,89.84,0.38,1.32,4
2516,0.22,74.8,0.94,1.21,4
1477,4.63,48.33,5.22,1.36,4
2015,1.03,24.54,2.08,1.26,4
1240,0.98,34.76,1.96,1.29,4
2312,0.3,68.83,0.9,1.15,4
3663,0.14,35.17,0.8,1.19,4
6691,4.13,60.81,3.37,0.92,4
5548,0.34,61.2,0.8,1.36,4
3596,2.82,67.02,1.79,1.24,4
3515,2.53,43.51,3.56,1.34,4
6874,1.4,63.27,2.3,2.07,4
6957,4.57,63.57,7.38,1.16,4
2912,2.83,79.93,1.84,1.25,4
4915,1.28,58.15,2.52,1.15,4
8487,1.08,41.39,2.75,0.81,4
3558,1.05,54.4,1.32,1,4
6616,0.26,40.55,1.9,1.59,4
4763,24.48,9.72,17.76,1.11,7
6412,1.7,58.22,2.9,1.08,4
8426,0.69,48.99,3.04,1.06,4
8099,0.56,49.13,1.62,1.18,4
5906,0.73,59.02,2.26,1.06,4
1616,0.14,45.3,1.01,1.18,4
3443,4.94,53.2,3.15,1.05,4
8442,2.67,50.71,4,1.16,4
9927,1.92,21.85,4.74,1.11,4
3206,1.21,47.46,3.47,1.03,4
2028,0.45,47.45,1.64,1.34,4
3704,0.11,52.8,0.44,0.97,4
8440,0.05,17.55,0.27,1.12,4
6246,-0.44,64.53,-0.39,0.93,3
6409,8.17,41.9,6.74,1.18,5
1264,5.08,24.97,5.26,1.3,5
6291,2.01,26.59,4.36,0.73,4
1473,1.44,31.65,5.52,1.64,4
2916,1.38,41.61,4.69,1.22,4
8271,0.94,25.87,2.14,1.2,4
2432,0.23,30.37,-0.57,1.25,4
2753,2.36,45.18,3.07,1.26,4
3434,0.56,41.4,2.96,1.58,4
3323,-0.57,54.69,-0.66,0.89,3
2353,0.4,63.71,1.91,1.1,4
5465,0.39,41.82,2.46,1.05,4
4989,-0.15,20.28,0.02,1.13,3
5258,1.75,46.41,3.08,0.94,4
1615,0.99,35.38,4.88,1.11,4
6790,0.93,34.67,4.2,1.15,4
6967,0.92,42.5,2.89,1.04,4
1712,0.81,51.33,2.33,1.28,4
8941,0.43,50.16,4.15,1.24,4
1201,0.26,58.41,1.4,1.19,4
3701,0.21,37.63,1.9,1.07,4
2729,2.52,49.43,1.72,1.16,4
6807,1.75,36.42,3.83,1.22,4
OTC38,1.62,79.54,1.34,1.18,4
3689,0.55,32.55,2.99,0.85,4
6751,0.06,29.42,0.29,0.89,4
3661,15.83,34.7,5.15,1.01,6
1580,2.73,34.74,4.54,0.93,4
8048,1.05,21.77,2.96,0.88,4
2546,1.01,62.74,1.27,0.98,4
8043,0.36,31.74,1.27,1.12,4
6996,3.58,43.65,5.59,1.12,4
6214,2.63,47.84,2.97,1.34,4
M2330,1.29,47.57,2.71,1.22,4
6670,7.01,33.03,5.6,1.26,5
OTC26,0.74,32.76,4.63,1.16,4
2029,0.49,11.95,1.51,1.2,4
6929,0.27,64.68,0.35,1.06,4
3090,1.24,38.76,4.02,1.2,4
9934,0.3,60.41,2.64,1.1,4
6596,2.22,46.17,5.27,1.74,4
6275,0.62,59.04,1.53,1.05,4
4160,0.56,22.49,4.84,1.12,4
5212,0.44,44.18,1.87,0.97,4
3268,0.34,41.56,1.9,0.92,4
6121,5.72,47.33,2.33,0.93,5
1537,2.54,23.55,5.6,1.22,4
4439,1.7,38.69,3.55,1.07,4
4721,0.79,30.92,4.2,1.37,4
2948,0.68,52.46,2.35,0.88,4
6266,0.61,36.12,2.8,0.9,4
2468,0.27,35.96,1.1,1,4
4906,0.18,42.7,0.4,1.01,4
6241,-0.85,31.63,-7.72,1.16,3
2385,2.42,54.49,3.52,0.98,4
2227,2,21.58,5.29,1.3,4
5520,1.98,36.69,3.15,0.97,4
2439,1.7,61.14,1.94,1,4
1341,1.46,48,4.03,1.11,4
8390,1.09,14.93,3.9,1.07,4
3380,0.12,47.87,1.27,0.85,4
5348,-0.13,30.28,-1.26,1,3
6139,4.1,67.24,2.78,1.4,4
2480,1.94,58.02,3.4,1.05,4
2006,1.5,48.3,2.13,1.05,4
6968,0.92,73.24,1.53,1.17,4
3232,0.16,48.72,0.71,1.35,4
3168,0.69,35.62,2.01,0.95,4
6190,0.5,46.22,3.52,1.18,4
8088,0.21,9.91,1.2,0.8,4
6113,-0.06,49.43,0.4,0.59,3
3034,8.04,33,4.6,0.92,5
6890,3.36,29.83,4.35,1.13,4
2206,1.75,56.78,2.73,1.07,4
1215,1.25,61.63,0.75,1.01,4
1259,1.01,60.57,3.39,0.97,4
2014,0.04,52.54,-1.14,1.1,4
6270,-0.34,34.54,-0.83,0.75,3
5439,1.08,38.19,2.35,0.87,4
3388,0.84,31.86,3.17,1.09,4
8227,0.41,26.44,1.4,0.59,4
2352,0.13,67.57,1.03,0.98,4
2030,-0.11,59.17,0.82,0.96,3
8420,-0.95,63.03,-2.86,0.15,3
3078,1.49,45.77,4.35,0.73,4
O2330,0.84,43.56,2.83,1.05,4
6221,0.8,56.09,5.5,0.8,4
4979,0.74,16.05,1.04,0.76,4
8438,0.36,37.96,1.21,0.98,4
2754,2.02,67.21,1.87,1.09,4
OTC36,1.05,61.28,0.81,0.94,4
4720,0.51,49.58,2.53,1.15,4
4931,0.31,28.18,2.35,1.44,4
6160,0,38.23,0.29,0.94,3
3324,4.51,41.8,4.09,0.98,4
6922,2.25,33.49,5.29,1.16,4
3483,1.61,54.85,2.2,0.89,4
6435,1.56,36.03,1.58,1.07,4
8045,1.48,40.17,5.1,0.84,4
3088,1.45,42.6,2.74,0.82,4
2421,1.19,42.28,3.5,0.94,4
2387,1.18,45.76,1.83,1.01,4
3038,0.79,40.08,3.67,0.91,4
1227,0.52,29.62,2.87,1.05,4
8183,0.45,47.06,1.45,0.82,4
1725,0.25,37.31,3.3,1.04,4
9907,0.1,39.35,1.83,1.13,4
5276,0.02,35.73,-0.55,1.05,4
3023,3.8,47.56,3.82,1.08,4
1519,2.29,69.82,3.77,0.75,4
4919,0.97,50.11,1.21,1.07,4
3338,0.77,48.07,2.42,0.9,4
8401,0.58,27.85,2.5,1.06,4
2328,0.33,36.76,2.02,0.77,4
2010,0.31,45.24,1.7,1,4
1220,0.29,18.86,1.82,0.95,4
3632,0.02,53.71,0.12,0.96,4
4438,-1.12,40.41,0.74,0.58,3
2597,2.14,60.74,0.6,1,4
2250,1.53,48.65,1.4,0.93,4
3211,1.37,49.07,3.01,0.85,4
2723,0.89,42.55,1.64,0.95,4
1730,0.82,21.58,2.5,1.04,4
4527,0.62,54.66,1.84,0.81,4
1310,-0.06,24.03,0.46,0.93,3
6220,-1,65.39,-0.02,1,3
2357,7.33,44.27,4.48,0.99,5
3032,1.4,47,3.37,0.97,4
9930,1.18,44.99,2.24,0.97,4
4550,0.63,47.12,1.23,0.8,4
3114,0.61,36.73,2.59,1,4
9933,0.58,81.29,0.74,1.04,4
5538,0.58,47.7,1.85,0.82,4
1736,-0.46,73.42,0.22,0.89,3
5288,3.91,29.62,6.47,1.03,4
6197,1.94,42.21,6.76,1.06,4
OTC12,1.03,30.84,2.86,1.01,4
6754,0.9,56.49,1.65,0.98,4
3021,0.33,45.97,2.32,1.04,4
5878,0.28,37.31,3.3,1.05,4
8215,0.11,60.51,0.48,0.87,4
2332,-0.09,31.62,0.74,0.86,3
4414,-0.18,65.77,-0.58,1.04,3
5283,-0.46,45.83,-0.53,0.66,3
6163,-0.55,52.61,-2.07,0.72,3
6414,4.67,63.17,1.65,0.97,4
6231,1.89,36.9,6.13,1.07,4
2038,0.24,58.35,0.3,0.96,4
3229,0.04,28.07,0.31,0.91,4
1626,-0.41,63.24,0.98,0.84,3
6672,1.25,36.2,4.02,0.89,4
6737,1.09,55.43,3.17,1.24,4
6230,0.53,39.62,1.74,0.7,4
3043,0.37,59.43,15.39,0.5,4
3540,0.09,61.18,1.38,0.91,4
4175,-0.06,80.43,0.03,0.98,3
6120,-0.13,49.46,0.19,1.09,3
3557,3.62,54.46,6.76,1.57,4
3611,3.39,39.67,-0.04,0.83,4
6180,2.3,43.84,4.25,1.27,4
1256,1.34,10.65,2.71,0.71,4
4760,1.24,33.4,2.59,0.91,4
6482,0.67,26.89,2.94,1.07,4
5243,0.6,38.01,3.98,0.93,4
4116,0.51,54.55,0.98,0.9,4
2022,0.18,25.83,-0.5,0.89,4
3202,0.05,54.03,4,0.95,4
8374,0,31.23,0.46,0.95,3
8996,1.44,44.45,2.63,0.68,4
7715,1.31,70.2,1.78,0.84,4
9924,1.3,29.62,2.63,0.79,4
O2325,0.94,43.78,2.26,0.83,4
3552,0.88,58.38,1.54,0.8,4
3528,0.86,72.46,0.75,0.78,4
6201,0.68,32.81,2.1,0.66,4
5285,0.55,45.97,1.57,0.92,4
5353,0.52,38.61,2.18,0.93,4
6140,0.52,55.89,1.59,0.82,4
3093,0.16,38.9,2.01,0.52,4
6916,0.05,51.2,0.68,0.79,4
8938,3.02,50.24,3.42,1.12,4
2368,2.5,52.45,4.47,1.06,4
M3600,2.48,56.01,3.12,3.11,4
2395,2.32,39.12,2.9,0.79,4
M2300,2.03,47.86,2.83,0.9,4
1216,0.97,69.11,1.88,0.95,4
3013,0.39,45.56,1.5,0.91,4
6259,0.25,22.65,1.33,0.73,4
8455,0.03,58.6,-0.65,0.96,4
4916,0,42.38,2.33,1.07,3
3617,5.49,46.09,4.75,0.78,5
1476,5.19,30.74,4.99,0.93,5
3665,3.56,57.34,1.76,0.89,4
6613,3.28,55.54,3.37,0.87,4
3226,1.8,34.06,4.77,0.93,4
2020,1.72,50.04,5.9,0.73,4
M1200,1.02,58.06,2.4,0.91,4
2329,0.7,42.51,3.61,0.89,4
6913,0.64,42.21,2.13,0.91,4
4207,0.27,41.66,1.36,0.98,4
3346,0.26,63.04,0.85,0.75,4
2908,0.26,81.43,0.67,0.98,4
2630,0.18,45.8,0.84,0.86,4
2642,0.16,47.69,-0.01,0.95,4
4121,0.04,52.05,0.3,0.88,4
3322,-0.19,53.16,-0.91,0.77,3
3293,14.45,51.2,10.86,0.95,6
2726,3.69,44.4,14.62,0.7,4
6903,3.19,23.87,6.31,1.06,4
7703,2,33.5,3.05,0.74,4
6143,1.51,43.06,3.19,0.81,4
5234,1.11,40.62,2.42,0.81,4
8916,0.98,44.3,2.63,0.68,4
6151,0.25,42.39,1.7,0.85,4
4413,0.24,24.48,1.6,0.77,4
6456,0.15,51.49,0.79,0.99,4
911622,0.03,24.99,-0.41,0.79,4
2379,6.1,52.4,5.52,1.06,5
5536,3.45,53.35,2.94,0.79,4
6245,1.43,35.39,2.76,0.72,4
1231,1.18,55.52,2.21,0.87,4
1817,0.93,21.16,3.58,0.85,4
7707,0.91,45.53,4.23,0.75,4
6680,0.34,37.49,1.1,0.6,4
3652,0.16,24.44,0.65,0.89,4
6865,0.14,47.91,0.3,0.7,4
5011,-0.15,55.01,-0.55,0.7,3
9942,2.27,22.72,4.14,0.71,4
2308,2.22,45.62,3.01,0.79,4
9911,1.63,42.49,4.83,1,4
6716,1.44,47.7,3.04,1.02,4
9951,1.23,38.59,2.68,0.84,4
8240,0.36,45.28,2.95,0.83,4
4304,-0.1,79.97,-0.87,0.79,3
3017,4.08,66.27,2.87,0.84,4
6138,2.34,38.67,3.35,1,4
6278,2.33,59.88,3.41,0.89,4
6761,1.49,42.15,1.96,0.94,4
2634,0.85,59.59,1.96,0.96,4
2482,0.71,19.17,2.17,0.32,4
6494,0.63,16.57,1.59,1,4
2497,0.55,46.08,1.43,0.79,4
5013,0.46,43.63,2.07,0.85,4
5410,0.41,46.1,1.32,1.12,4
4968,0.31,32.17,0.9,1.06,4
9110,-0.06,49.83,-2.89,0.45,3
3592,7.28,47.99,2.62,1.21,5
5289,3.98,25.69,3.61,0.89,4
1294,1.84,52.58,3.84,0.78,4
1475,1.74,23.74,6.72,0.99,4
6290,1.7,25.89,4.1,0.83,4
3035,1.13,23.16,2.13,0.65,4
1514,0.89,51.56,2.43,0.74,4
2392,0.83,64.42,1.21,0.72,4
1541,0.76,47.07,2.14,0.75,4
1233,0.37,40.39,-1.15,0.98,4
1714,0.29,27.71,3.14,0.8,4
2413,0.07,55.25,0.44,0.72,4
8047,-0.17,17.9,1.27,0.85,3
5904,6.78,81.36,2.71,0.91,5
3213,2.66,26.01,7.49,0.83,4
2458,2.4,39.07,4.21,0.86,4
8342,1.95,40.61,4.19,0.89,4
6263,1.86,23.91,5.12,0.75,4
3005,1.81,47.66,4.85,0.82,4
M3800,1.61,43.01,4.12,0.86,4
4974,1.58,31.5,5.49,0.84,4
7584,1.4,42.77,3.53,1.07,4
2732,1.23,58.27,1.26,0.77,4
2364,0.91,66.22,2.27,0.76,4
4767,0.75,37.08,2.36,0.82,4
4183,0.5,40.03,2.2,0.73,4
3325,0.11,45.26,1.33,0.7,4
8071,-0.35,57.48,0.36,0.78,3
3447,-0.35,57.57,-0.74,0.66,3
2640,1.94,51.62,3.22,0.83,4
4557,1.72,43.94,4.3,0.73,4
2758,1.5,78.99,0.97,0.77,4
3430,1.38,31.51,3.68,0.96,4
2351,0.9,40.27,1.9,0.78,4
4535,0.68,12.63,3,0.84,4
1617,0.15,37.74,1.41,0.84,4
2444,0.07,50.16,0.36,0.62,4
3548,2.5,47.64,2.29,0.91,4
9921,1.33,55.71,1.34,0.76,4
OTC27,0.95,58.68,2.02,0.96,4
6671,0.67,27.65,2.93,0.77,4
6861,0.51,41.26,1.05,0.82,4
6432,0.51,39.21,1.96,0.71,4
3019,0.4,31.98,3.97,0.79,4
3171,0.37,37.78,1.76,0.89,4
2402,0.3,45.9,3.12,0.74,4
8032,0.28,33.78,1.72,0.92,4
3646,0.2,37.05,3.75,0.91,4
2221,0.06,33.28,0.37,0.73,4
6229,0.01,50.59,0.59,0.77,4
6166,-0.35,58.38,0.01,0.64,3
5321,-0.77,80.4,-0.83,0.68,3
4766,5.86,45.41,3.75,0.82,5
2383,5.76,56.2,4.21,0.92,5
8464,4.88,34.95,5.93,0.75,4
8016,3.62,34.8,3.92,0.83,4
3218,3.59,44.23,6.07,0.82,4
4728,3.24,30.91,8.09,0.76,4
8210,3.03,54.81,3.42,0.8,4
1788,2.16,35.79,2.07,0.82,4
2636,1.88,48.55,3.39,1.09,4
3711,1.32,54.19,2.33,0.79,4
3026,1.31,35.67,1.56,0.78,4
1785,0.73,50.81,1.79,0.94,4
1336,0.43,31.22,3.79,0.82,4
6936,0.41,21.26,1.96,0.81,4
1732,0.11,27.4,1.01,0.91,4
2331,0.07,48.4,4.37,0.59,4
3058,-0.64,56.03,-0.43,0.66,3
3260,3.62,66.49,2.75,0.92,4
6556,3.01,37.5,3.97,0.9,4
2066,2.9,52.24,3.34,0.81,4
3014,2.45,20.24,4.39,0.72,4
6637,2.1,38.23,5.15,0.74,4
4994,2.05,23.06,8.14,1.07,4
M3700,1.89,43.96,3.58,0.8,4
3045,0.98,59.42,1.49,0.8,4
4205,0.92,15.14,3.41,0.79,4
2313,0.83,51.19,2.36,0.78,4
6844,0.74,34.4,0.56,0.7,4
8155,0.74,34.53,1.11,0.84,4
2103,0.32,47.73,2.47,0.89,4
2399,0.19,19.76,1.33,0.91,4
1614,0.07,24.4,0.57,0.72,4
3550,-0.19,62.92,2.17,0.7,3
5292,2.45,52.58,3.18,0.78,4
4754,0.93,37.26,3.63,0.83,4
2489,0.77,37.07,3.49,0.82,4
2397,0.45,47.5,0.91,0.85,4
6242,0.44,18.63,1.01,0.52,4
8908,0.33,58.16,0.98,0.76,4
3285,0.31,26.5,2.49,0.85,4
3628,0.12,52.02,0.6,0.71,4
2061,0.03,53.43,0.45,0.86,4
OTC16,0.03,53.43,0.45,0.86,4
2419,-0.09,48.37,1.16,0.76,3
6109,-0.11,32.83,0.02,0.68,3
2429,-0.33,40.7,-2.9,0.56,3
3321,-0.49,63.16,-1.47,0.92,3
4807,-0.72,35.95,-3.78,0.93,3
8433,2.61,47.85,4.01,0.63,4
8416,2.23,20.29,3.53,0.85,4
6203,1.88,24.76,3.78,0.52,4
1342,1.75,40.75,3.74,0.74,4
6274,1.66,43.85,3.66,0.9,4
6791,1.24,44.17,3.65,0.79,4
1618,0.62,19.74,8.81,0.61,4
5425,0.42,37.4,2.23,0.72,4
4106,0.4,28.29,2.32,0.8,4
2543,0.39,76.36,0.74,0.64,4
3673,0.29,58,1.77,0.68,4
6418,0.28,49,1.31,0.7,4
6204,0.26,35.66,1.93,0.67,4
2457,0.16,34.72,2.25,0.61,4
3607,-0.39,37.65,-0.55,0.79,3
5516,-1.09,82.73,-1.51,0.32,3
8081,4.41,31.48,2.18,0.73,4
9802,1.48,34.97,3.17,0.56,4
1726,1.48,14.46,3.65,0.78,4
4987,0.92,28.13,2.75,0.72,4
3118,0.59,32.16,2.31,0.86,4
8049,0.5,12.19,3.55,0.56,4
5543,0.41,68.02,1.08,0.93,4
6148,0.26,55.18,0.98,0.57,4
6158,-0.07,47.93,3.4,0.78,3
3664,-0.85,62.84,-4.76,0.52,3
3529,5.77,18.59,10.54,0.8,5
2228,3.49,25.67,5.5,0.79,4
3163,1.68,29.09,4.69,0.62,4
6846,1.57,38.66,3.54,0.76,4
6235,1.05,56.46,4.1,0.71,4
6542,0.93,14.27,4.96,0.87,4
OTC37,0.83,48.38,2.78,0.87,4
2756,0.76,41.68,2.73,0.71,4
4923,0.46,15.75,1.75,0.89,4
1781,0.3,45.25,2.04,1.2,4
2236,0.27,34.38,1.88,0.64,4
2034,0.1,50.95,3.08,0.66,4
6869,-0.02,56.41,-0.17,0.43,3
1305,-0.05,44,-0.21,0.65,3
1413,-0.11,54.98,-0.61,1.05,3
6629,3.66,24.33,7.87,1.14,4
6538,2.95,42.24,4.32,0.71,4
6690,2.03,50.51,1.72,0.72,4
6486,1.36,47.4,2.08,0.57,4
1515,1.34,58.05,2.91,0.95,4
5511,1.32,49.68,1.16,0.64,4
6527,1.24,19.51,2.87,0.73,4
3303,0.92,39.58,3.22,0.83,4
8358,0.84,24.23,2.64,0.75,4
8905,0.43,17.5,1.43,0.6,4
5309,0.35,36.46,2.87,0.74,4
3128,0.18,50.55,0.54,0.75,4
5315,0.17,23.78,1.25,0.62,4
1455,0.14,41.24,0.67,0.85,4
3294,0.07,57.87,1.04,0.75,4
2023,0.02,66.84,0.44,0.85,4
2204,2.29,27.07,3.01,0.96,4
6720,1.58,35.34,7.42,0.91,4
6835,0.96,48.04,2.48,0.78,4
2423,0.6,32.19,2.89,0.68,4
6843,0.38,33.96,1.24,0.52,4
3492,0.37,37.23,2.32,0.76,4
8084,-0.28,45.2,-1.55,0.59,3
4139,-0.56,70.4,-1.54,0.68,3
8299,12.02,38.56,3.54,0.94,6
6732,4.41,34.71,4.04,0.82,4
3044,3.5,42.7,4.1,0.77,4
6805,3.27,53.55,2.94,0.74,4
7712,2.86,39.67,4.69,0.73,4
6757,1.92,73.15,4.69,0.92,4
6442,1.72,27.53,4.31,0.92,4
5007,0.99,26.09,3.35,0.8,4
O2331,0.96,47.37,2.34,0.72,4
3531,0.95,27.75,2.95,0.64,4
6982,0.66,66.46,1.25,0.74,4
4432,0.63,16.14,3.28,0.61,4
3684,0.44,38.35,1.48,0.76,4
6104,0.39,46.3,1.15,0.79,4
9905,0.34,26.78,2.22,0.71,4
1324,0,19.26,0.35,0.66,3
3710,-0.35,75.07,-0.4,0.79,3
3653,5.06,30.66,5.09,0.7,5
Y8888,1.32,49.57,2.36,0.72,4
8924,1.17,32.02,5.51,0.75,4
2301,1.04,54.57,2.7,0.62,4
6416,0.9,39.2,1.28,0.6,4
3305,0.81,41.22,1.97,0.73,4
6243,0.55,26.04,2.14,0.63,4
2106,0.46,56.13,2.83,0.74,4
2462,0.44,45.62,2.37,0.57,4
6269,0.06,37.39,1.17,0.66,4
3276,-0.12,45.48,-0.43,0.8,3
6419,3.92,35.52,11.17,1.43,4
6667,1.86,62.62,2.46,0.76,4
1582,1.73,37.49,4.2,0.71,4
9904,1.58,38.06,4.42,0.75,4
1702,1.45,58.86,2.1,0.73,4
8928,1.45,68.47,2.35,1.1,4
4305,1.09,12.69,4.51,0.66,4
3287,1.07,32.15,5.62,0.83,4
5706,1.04,53.18,3.16,0.73,4
8482,0.83,26.07,4.67,0.64,4
4722,0.59,41.93,1.52,0.76,4
8163,0.52,55.27,0.93,0.6,4
6156,0.44,46.98,1.97,0.65,4
6213,0.42,41.84,2.9,0.73,4
8105,0.15,29.61,0.77,0.69,4
6167,0.03,18.22,1.04,0.49,4
6692,-0.64,58.29,-1.39,0.46,3
1268,4.73,67.15,2.93,0.95,4
4580,2.57,34.93,3.43,0.63,4
1522,2.01,61.28,2.83,0.78,4
6569,1.52,28.53,2.79,0.52,4
6517,1.25,22.36,5.16,0.7,4
1723,1.2,22.74,1.52,0.62,4
8424,1.07,12.85,3,0.71,4
3715,1.02,71.41,2.04,0.71,4
M2327,0.88,42.65,1.94,0.69,4
6115,0.87,38.89,2.75,0.74,4
2063,0.83,46.59,2.26,0.59,4
2355,0.82,27.95,1.98,0.72,4
5493,0.73,45.05,2.52,0.83,4
1612,0.58,10.11,3.94,0.67,4
1709,0.39,34.76,3.97,0.81,4
8463,0.38,63.85,0.5,0.83,4
5016,0.33,43.44,0.76,0.76,4
1218,0.32,11.88,1.16,0.8,4
6988,0.21,37.04,1.29,0.82,4
1454,0.16,20.43,1.19,0.77,4
1451,0.15,14.56,1.22,0.83,4
8034,0.12,19.14,0.8,0.31,4
4558,0.06,56.61,0.13,0.72,4
6152,-0.22,47.89,-1.34,0.5,3
2911,-0.47,77.75,-1.67,0.77,3
6526,2.46,23.14,2.31,0.74,4
6438,1.95,48.91,1.94,0.64,4
2065,1.38,46.9,2.49,0.69,4
8940,1.15,58.31,4.08,1.18,4
6188,0.78,36.11,2.97,0.62,4
2488,0.74,28.43,2.9,0.48,4
6161,0.69,20.05,3.69,0.68,4
1608,0.69,34.24,2.2,0.78,4
6641,0.6,36.54,1.74,0.7,4
O2327,0.45,36.75,1.89,0.63,4
4148,0.44,23.75,1.99,0.57,4
1605,0.22,42.98,1.96,0.61,4
3564,0.1,47.4,0.4,0.71,4
2906,0.07,44.8,1.06,0.7,4
