eps,debt,roa,quick
-3.7,23.88,-8.42,204.43
-3.63,31.77,-17.7,315.7
-3.62,2.97,-35.68,"3,283.19"
-3.53,55.78,-19.88,130.88
-3.53,36.87,-18.07,198.63
-3.44,11.23,-67.76,836.7
-3.42,5.96,-24.35,"1,863.77"
-3.41,76.59,-22.05,52.07
-3.4,32.47,-23.17,67.45
-3.4,28.68,-34.46,228.38
-3.39,75.28,-14.83,42.2
-3.39,58.07,-5.95,61.22
-3.36,58.41,-22.62,155.24
-3.35,80.63,-24.11,50.42
-3.35,54.55,-9.55,96.81
-3.32,80.43,-9.61,29.36
-3.32,35.09,-16.6,96.13
-3.32,3.39,-19.62,"3,099.7"
-3.32,1.38,-21.32,"14,626.55"
-3.3,59.93,-25.83,163.74
-3.27,52.4,-4.71,165.58
-3.24,48.14,-7.75,113.14
-3.23,54.39,-26.69,76.95
-3.22,72.33,-6.47,14.06
-3.22,43.51,-7.21,62.15
-3.2,19.59,-10.43,248.38
-3.09,49.02,-12.08,69.82
-3.09,96.89,0.48,423.44
-3.08,73.83,-6.32,86.1
-3.08,58.53,-3.99,111.19
-3.07,21.05,-8.3,227.16
-3.06,69.15,-24.76,94.2
-3.05,50.02,-18.35,57.44
-3.03,66.17,-4.79,69.95
-3.01,47.92,-10.87,104.13
-3,46.3,-25.86,60.97
-3,10.26,-7.55,824.38
-2.92,69.26,-4.33,40.31
-2.91,65.88,-11.58,49.9
-2.91,5.64,-8.41,"3,621.24"
-2.89,26.67,-12.24,269.55
-2.84,94.28,-9.38,37.96
-2.84,61.93,-3.94,59.39
-2.84,50,-5.05,65.85
-2.81,56.92,-12.85,105.99
-2.79,85.01,-30.05,11.54
-2.79,41,-19.75,95.11
-2.79,37.64,-3.94,162.69
-2.78,68.46,-14.05,69
-2.76,46.87,-16.13,157.81
-2.74,67.52,-10.7,64.7
-2.73,96.78,-0.78,52.42
-2.7,68.13,14.95,34.95
-2.68,10.58,-7.87,597.75
-2.67,69.03,-6,76.7
-2.67,16.99,-31.2,"1,170.16"
-2.66,7.1,-22.36,"1,251.28"
-2.6,65.65,-9.94,60.98
-2.6,66.81,0.64,83.96
-2.6,32.9,-9.63,202.13
-2.59,33.95,-25.63,483.86
-2.57,70.02,-3.98,62.62
-2.56,50.25,-31.96,140.87
-2.54,43.7,-39.9,75.16
-2.53,61.28,-7.26,45.34
-2.53,6.33,-10.85,"1,042.86"
-2.52,36.48,-5.96,132.29
-2.51,14.45,-13.89,629.07
-2.5,52.32,-12.7,97.04
-2.47,39.34,-8.51,130.96
-2.47,2.24,-12.57,"4,360.23"
-2.46,30.73,-6.74,223.37
-2.45,72.27,-14.77,1.54
-2.44,47.66,-9.74,143.09
-2.43,2.91,-11.99,"3,629.46"
-2.42,24.81,1.83,244.11
-2.4,13.22,-3.77,335.43
-2.39,54.4,-11.39,62.23
-2.38,24.83,-6.89,167.81
-2.37,54.42,-7.16,36.41
-2.37,56.88,-4.95,115.03
-2.37,41.21,-12.47,180.75
-2.37,14.88,-28.31,208.75
-2.36,32.49,-14.95,260.01
-2.35,65.2,-1.68,81.18
-2.33,14.06,-53.99,683.07
-2.31,92.63,-29.67,8.03
-2.31,11.91,-4.11,701.68
-2.31,7.27,-31.05,"1,434.49"
-2.3,8.66,-39.69,660.38
-2.29,17.22,-38.82,494.92
-2.28,49.18,-12.19,223.97
-2.22,40.43,-11.3,107.11
-2.22,19.95,-15.87,262.01
-2.21,78.83,-4.66,36
-2.21,58.56,-20.27,503.52
-2.2,51.76,-15.46,136.44
-2.16,46.56,-4.22,137.73
-2.16,47.13,-27.25,442.76
-2.15,43.97,-19.67,193.65
-2.12,58.44,-68.95,89.37
-2.12,16.1,-17.04,518.28
-2.11,8.38,-9.67,759.83
-2.1,89.39,-10.84,17.11
-2.09,20.79,-7.98,343.73
-2.07,37.95,-1.59,381.2
-2.07,25.43,-26.08,389.23
-2.07,5.46,-33.41,"1,127.42"
-2.06,65.25,-5.62,114.06
-2.02,69.05,-7.17,30.58
-2.01,35.98,-5.46,108.57
-2.01,33.45,-14.57,645.76
-2.01,9.84,-1.9,806.71
-2,51.39,-5.87,58.99
-1.99,36.8,-13.5,420.77
-1.98,57.09,-2.51,102.95
-1.98,29.98,-6.31,451.36
-1.96,75.25,-7.11,49.3
-1.96,42.97,-1.28,149.03
-1.94,16.81,-6.34,564.39
-1.93,12.18,-2.37,983.59
-1.91,19.55,-8.1,417.55
-1.9,73.07,-4.23,31.4
-1.88,67.86,-15.81,66.66
-1.87,66.41,-6.44,65.59
-1.87,43.12,-4.79,197.3
-1.87,35.99,-20.27,216.98
-1.87,10.97,-15.93,"1,368"
-1.85,52.37,-8.09,26.84
-1.85,46.07,-12.38,201.43
-1.85,36.56,-9.05,446.76
-1.84,18.66,-11.64,405.09
-1.83,51.03,-9.31,102.1
-1.83,14.01,-3.25,369.92
-1.83,5.39,-63.79,"1,570.48"
-1.82,46.52,-10.64,80.04
-1.82,41.45,-17.34,80.53
-1.81,17.22,-12.04,422.96
-1.8,52.47,-8.69,27.6
-1.77,72.9,-8.48,27.76
-1.77,59.29,-2.28,119.27
-1.77,21.34,-11.72,232.42
-1.76,7.51,-8.15,"1,029.43"
-1.75,45.56,-22.36,76.27
-1.75,55.45,-2.86,92.08
-1.72,87.05,-10.01,64.7
-1.7,60.11,-6.62,34.49
-1.7,42.56,-7.87,36.93
-1.7,66.14,-3.6,63.26
-1.69,46.84,-10.81,117.95
-1.69,20.73,11.17,144.93
-1.68,98.08,-8.98,96.29
-1.68,4.78,-14.35,"2,994.7"
-1.67,51.26,-13.05,38.31
-1.67,54.3,-11.34,77.73
-1.66,61.32,-10.19,87.06
-1.65,16.15,-15.76,125.54
-1.65,17.8,-10.95,260.59
-1.64,67.01,-3.49,90.38
-1.63,56,-7.52,122.2
-1.63,20.53,-10.32,132.05
-1.61,24.75,-6.44,208.33
-1.6,57.58,-9.87,563.82
-1.6,3.59,-13.06,"2,456.08"
-1.59,41.07,-3.16,77.97
-1.59,62.57,-2.99,78.99
-1.58,58.91,-3.65,125.74
-1.57,39.38,-7.15,119.27
-1.57,46.17,-10.38,168.11
-1.56,34.61,-13.78,124.35
-1.56,13.05,-15.29,"2,858.17"
-1.55,49.66,-7.44,26.05
-1.55,38.35,-17.79,79.68
-1.55,38.22,-11.23,122.75
-1.54,78.72,-7.23,25.14
-1.54,46.16,-4.39,101.06
-1.54,16.44,-28.95,298.47
-1.53,48.96,-9.79,100.6
-1.53,3.97,-10.26,"1,065.71"
-1.52,69.3,-13.54,4.82
-1.52,39.08,-8.2,212.27
-1.51,44.99,-8.33,57.19
-1.51,21.33,-25.96,128.04
-1.5,88.09,-20.17,33.12
-1.5,43.4,-6.88,123.69
-1.5,25.13,-3.93,200.16
-1.5,16.58,-51.33,480.55
-1.48,9.48,-14.21,"1,353.97"
-1.47,62.65,-3.01,86.96
-1.47,13.75,-14.14,390.93
-1.46,59.93,-5.76,101.21
-1.46,2.55,-12.01,"3,777.27"
-1.44,51.08,-6.39,114.91
-1.44,5.64,-14.46,"4,576.35"
-1.43,13.06,-12.34,209.56
-1.42,15.23,-27.25,67.47
-1.42,32.43,-3.47,74.06
-1.42,39.91,-22.7,206.68
-1.39,18.15,-10.24,139.67
-1.38,37.94,-4.81,192.76
-1.36,60.14,-3.53,52.18
-1.36,58.04,-4.4,72.6
-1.34,18.41,-9.36,230.19
-1.34,9.98,-10.22,487.95
-1.34,6.5,-5.77,646.5
-1.33,4.71,-3.5,"1,722.38"
-1.31,67.49,-2.63,79.79
-1.31,21.8,-16.2,183.36
-1.31,3.1,-2.97,"2,007.8"
-1.3,36.64,-1.23,132.2
-1.3,43.82,-5.9,164.98
-1.3,8.92,-18.64,"1,623.85"
-1.29,64.84,-5.54,24.73
-1.29,50.05,-8.25,50.68
-1.28,36.51,-10.28,73.68
-1.28,30.55,-8.08,221.38
-1.27,48.61,-15.01,324.89
-1.27,11.28,-8.53,523.71
-1.26,54.11,-2.56,66.33
-1.26,28.4,-9.51,143.66
-1.26,27.1,-20.04,217.09
-1.26,28.82,-40.83,353.38
-1.21,53.36,-4.78,101.26
-1.21,19.28,-3.23,325.38
-1.21,11.89,-25.46,"1,100.61"
-1.2,43.62,-17.43,106.9
-1.2,9.76,-10.89,677.41
-1.2,10.43,-5.07,"1,118.96"
-1.19,21.86,-12.62,161.14
-1.19,31.8,-7.38,203.26
-1.19,24.49,-6.93,262.65
-1.19,5.61,-10.1,"1,291.14"
-1.18,91.19,0.65,10.61
-1.18,3.44,-17.24,"1,249.43"
-1.17,47.16,-8.49,102.9
-1.17,60.82,-14.39,150.95
-1.17,10.89,-13.68,"1,359.29"
-1.16,91.35,-2.13,138.32
-1.15,77.98,-2.32,10.46
-1.15,53.15,-6.98,60.05
-1.15,66.04,-62.84,132.53
-1.14,28.38,-9.85,257.04
-1.13,5.44,-7.04,433.94
-1.12,59.81,-1.93,72.38
-1.12,32.77,-6.31,329.65
-1.12,30.82,-4.68,329.66
-1.09,54.59,-2.31,24.21
-1.09,58,-1.34,103.22
-1.09,31.15,-4.71,105.91
-1.09,53.54,-3.13,211.42
-1.07,44.41,-4.88,83.05
-1.07,31.66,-4.54,134.87
-1.06,41.79,-3.1,62.45
-1.06,46.12,-3.05,98.16
-1.05,35.93,-11.92,63.53
-1.05,66.84,-3.84,72.76
-1.05,60.6,-4.09,79.15
-1.04,61.27,-4.94,120.18
-1.04,36.68,-5.55,166.55
-1.04,20.88,-3.17,225.7
-1.03,6.81,-24.59,503.09
-1.03,9.47,-16.67,633.57
-1.03,9.6,-5.82,"1,212.86"
-1.02,189.83,-4.85,19.27
-1.02,6.05,0.96,362.03
-1.02,11.63,-7.93,429.24
-1.01,53.28,-5.3,39.57
-1,70.13,-1.26,50.19
-1,48.88,-7.1,59.79
-1,52.21,-2.79,101.77
-1,60.69,-2.71,171.26
-1,35.14,-6.49,211.49
-1,30.43,-85.5,271.58
-1,46.49,-0.01,544.13
-0.99,66.38,-3.79,106.68
-0.99,39.98,-9.2,117.11
-0.99,43.18,-7.57,164.21
-0.99,35.41,-4.27,171.24
-0.98,80.27,-5.34,21.86
-0.98,28.73,-5.61,91.87
-0.98,59.62,0.29,104.97
-0.98,60.92,-1.75,184.67
-0.98,39.28,-7.76,354.68
-0.98,11.78,-5.37,489.66
-0.97,59.65,-4.34,44.55
-0.97,32.57,-4.37,184.56
-0.97,21.11,-3.71,314.15
-0.96,9.07,-16.04,996.55
-0.95,49.49,-2.26,115.34
-0.93,53.85,-7.72,146.47
-0.93,35.84,-0.76,154.42
-0.92,53.68,-3.06,67.19
-0.92,37.89,-1.17,163.64
-0.91,75.99,-1.87,100.19
-0.91,45.91,-4.57,131.79
-0.9,146.55,-8.09,10.74
-0.9,56.47,-2.43,34.5
-0.89,68.37,-1.78,134.34
-0.88,57.73,-0.98,57.46
-0.88,26.43,5.97,74.13
-0.87,26.54,-7.2,188.13
-0.86,57.3,-2.02,92.68
-0.86,8.6,-5.48,"1,147.51"
-0.85,49.25,-3.5,45.74
-0.85,13.71,-5.74,648.99
-0.85,6.77,-8.22,"1,222.95"
-0.84,54.6,-1.54,138.57
-0.84,22.62,-0.92,351.72
-0.82,68.79,-5.72,62.77
-0.82,66.69,-2.82,66.91
-0.82,56.41,-2.67,109.22
-0.82,16.54,-9.7,454.13
-0.81,49.24,-5.58,169.99
-0.81,13.43,-6.22,867.13
-0.79,53.53,-2.94,26.03
-0.79,4.28,-7.63,"3,964.76"
-0.78,58.36,-1.85,53.44
-0.78,58.73,-2.1,59.32
-0.78,47.92,-2.7,71.51
-0.78,74,-3.66,76.79
-0.78,74.59,-5.08,146.38
-0.78,45.73,-6.49,151.49
-0.78,21.69,-6.29,375.09
-0.77,68.45,-2.3,48.06
-0.77,42.58,-2.44,90.39
-0.77,54.17,-6.17,102.33
-0.77,34.1,-4.87,219.67
-0.77,9.28,-13.97,471.44
-0.76,77.65,-3.02,30.61
-0.76,53.86,-2.25,80.32
-0.76,21.28,-53.42,156.19
-0.76,9.6,-3.58,671.17
-0.75,49.41,-5.1,19.02
-0.75,67.35,-4.88,52.3
-0.75,43.98,-5.13,66.81
-0.75,15.43,-3.01,456.5
-0.75,2.01,-3.18,"4,935.38"
-0.74,30.69,-13.12,187.26
-0.74,20.69,-13.09,321.49
-0.73,34.92,-4.92,127.15
-0.72,61.33,-3.53,6.39
-0.71,82.91,-0.68,4.83
-0.71,69.57,-1,59.72
-0.71,64.89,-3.65,95.58
-0.71,33.4,-9.03,138.18
-0.71,51.08,-6.13,150.28
-0.7,52.82,-4.93,73.55
-0.7,22.96,-2.55,290.25
-0.7,10.45,-3.85,834.08
-0.69,79.71,-0.99,2.06
-0.69,59.37,-1.96,31.13
-0.69,17.67,-7.12,163.96
-0.69,25.23,-3.99,224.13
-0.69,25.45,-3.7,264.8
-0.69,3.91,-2.6,"2,722.83"
-0.68,53.94,-1.2,23.91
-0.68,40.06,3.03,43.81
-0.68,9.42,-2.91,848.31
-0.68,4.76,-13.44,"2,049.93"
-0.67,64.2,-1.95,96.06
-0.67,39.96,-1.37,222.28
-0.66,64.39,-3.75,48.35
-0.65,47.9,-3.14,82.63
-0.65,46.73,-4.43,198.46
-0.64,54.84,-4.9,105.2
-0.64,34.1,-11.77,215.33
-0.64,23.08,-3.64,240.58
-0.64,9.35,-5.99,337.09
-0.63,44.35,-1.45,195.98
-0.63,31.15,-2.86,367.31
-0.61,21.65,-9.79,46.43
-0.61,41.89,-3.88,105.73
-0.61,24.99,-1.63,303.44
-0.61,10.68,2.76,526.53
-0.6,44.93,-2.95,162.88
-0.6,17.28,-2.87,"1,418.71"
-0.59,43.29,-6.58,50.69
-0.59,21.49,-4.04,379.9
-0.58,57.73,3.85,110.19
-0.58,14.59,-4.67,468.97
-0.57,31.14,-0.38,102.49
-0.56,40.07,-2.7,103.58
-0.56,46.32,-7.72,116.49
-0.56,12.03,4.16,409.3
-0.56,17.86,-10.43,787.77
-0.55,66.85,-1.44,49.46
-0.55,47.63,-2.65,80.05
-0.55,40.32,-1.24,168.18
-0.55,48.02,-10.61,455.55
-0.54,51.67,-2.68,110.1
-0.54,51.67,-2.68,110.1
-0.54,26.63,-6.45,446.1
-0.53,85.14,-1.01,18.3
-0.53,50.65,-0.9,46.3
-0.53,24.61,-4.13,375.3
-0.52,60.87,-3.76,166.57
-0.52,33.4,0.95,170.99
-0.52,44.3,-1.54,222.38
-0.51,69.14,-0.57,32.91
-0.51,54.16,-3.11,70.21
-0.51,47.47,-1.47,88.87
-0.51,37.62,-0.5,95.41
-0.51,34.66,-1.58,198.59
-0.5,34.34,-1.7,141.24
-0.5,1.46,-6.69,"5,725.69"
-0.49,28.34,-0.53,334.06
-0.48,31.86,-2.63,156.65
-0.48,12.54,-4.15,610.48
-0.48,4.67,-4.95,"6,359.71"
-0.47,27.62,-2.06,111.17
-0.47,17.06,-5.26,331.84
-0.46,32.52,-0.75,249.92
-0.45,53.77,-0.5,53.7
-0.45,59.25,0.36,57.6
-0.45,38.83,-2.36,89.69
-0.44,36.93,-2.71,124.44
-0.44,45.85,-1.61,185.58
-0.44,27.47,-2.35,227.48
-0.44,29.93,-3.79,285.3
-0.44,4.22,-2.33,"1,855.59"
-0.43,38.4,-5.16,47.27
-0.43,13.12,-0.06,52.95
-0.43,6.47,-3.79,"2,057.45"
-0.42,28.49,-1.87,186.2
-0.42,33.72,-1.81,256.31
-0.42,15.7,-2.93,298.34
-0.41,43.34,-1.17,150.3
-0.4,23.32,-1.69,69.94
-0.4,44.32,-1.16,94.58
-0.4,50.31,-0.86,147.02
-0.4,19.97,-7.06,386.32
-0.39,30.5,-5.76,41.81
-0.39,32.79,-2.69,142.43
-0.38,51.13,-7.06,33.01
-0.38,66.65,-1.65,116.85
-0.38,20.04,-2.03,351.14
-0.38,2.26,-4.9,"5,039.5"
-0.38,0.96,-4.04,"10,315.91"
-0.37,28.95,-1.62,125.76
-0.37,44.5,-0.69,158.23
-0.37,27.73,-1.12,295.64
-0.36,41.13,-1.29,39.4
-0.36,38.23,-2.28,183.58
-0.35,74.75,-0.28,11.88
-0.35,9.1,-3.13,"1,236.96"
-0.34,46,-1.49,97.11
-0.34,27.17,-3.04,103.02
-0.34,38.94,-3.62,189.01
-0.34,25.18,-0.97,286.69
-0.33,84.7,-5.41,58.46
-0.33,31.89,-1.66,145.82
-0.32,63.95,-0.73,91.7
-0.31,24.62,-0.91,707.92
-0.3,24.39,-3.28,136.62
-0.3,12.02,24.06,"10,993.19"
-0.29,51.15,-5.35,73.54
-0.29,47.34,-0.68,113
-0.29,25.96,-1.6,174.98
-0.29,9.23,-4.88,"1,130.91"
-0.28,45.94,-0.53,30.43
-0.28,37.48,-0.93,47.54
-0.28,48,0.84,129.36
-0.28,12.13,-0.73,527.38
-0.27,75.62,-0.94,19.48
-0.27,71.44,-5.87,40.01
-0.27,9.91,4.58,718.65
-0.25,49.94,-0.03,60.31
-0.25,27.16,-1.37,352.58
-0.24,44.27,-0.81,98.04
-0.24,32.19,-2.88,206.49
-0.24,34.4,-0.77,228.11
-0.24,12.34,-1.4,939.1
-0.24,3.4,-0.38,"2,269.44"
-0.23,27.35,-3.56,163.94
-0.22,68.52,-0.5,129.54
-0.21,46.01,7.76,115.88
-0.2,74.16,-0.39,2.91
-0.2,74.37,-1.09,9.66
-0.2,64.26,-0.66,18.21
-0.2,46.85,0.41,356.96
-0.2,12.32,-2.28,763.43
-0.19,48.89,1.74,91.98
-0.19,49.27,-0.39,110.13
-0.19,30.17,-0.55,179.73
-0.19,35.81,-2.72,183.59
-0.18,38.64,-0.93,94.91
-0.18,40.98,-1.31,164.97
-0.17,11.66,-1.36,246.06
-0.16,52.4,-0.62,182.94
-0.16,16.74,10.32,930.13
-0.16,12.25,-1.14,"1,008.14"
-0.15,58.7,-0.34,71.75
-0.15,53.38,-2.92,128.22
-0.15,4.7,-2.28,"1,645.18"
-0.14,87.95,0.63,16.27
-0.14,50.43,1.94,111.07
-0.14,26.85,-0.82,216.65
-0.13,54.21,-0.53,55.21
-0.13,29.26,-2.61,185.26
-0.13,30.77,0.02,232.7
-0.13,24.61,-6.91,248.95
-0.12,53.14,9.95,34.83
-0.12,69.24,-0.16,47.53
-0.12,68.75,-1.47,73.85
-0.12,45.72,-1.19,127.18
-0.11,80.49,-0.03,30.79
-0.11,51.32,-0.14,67.12
-0.11,45.22,-1.62,190.8
-0.11,26.02,-0.21,309.48
-0.11,11.35,-13.11,"4,086.64"
-0.1,27.66,-1.63,140.72
-0.1,20.41,4.26,192
-0.1,33.35,-0.71,319.7
-0.08,54.74,-0.17,84.04
-0.08,55.1,0.28,95.93
-0.08,38.28,-1.16,128.41
-0.08,9,-7.89,961.85
-0.08,10.04,-2.01,"7,127.15"
-0.06,58.28,-3,105.11
-0.06,37.13,-0.36,108.75
-0.06,32.33,0.05,160.28
-0.06,61.3,3.35,167.44
-0.06,25.8,-5.19,251.08
-0.05,324.01,-1.58,18.07
-0.05,66.99,-0.8,38.43
-0.05,32.88,-2.81,239.01
-0.04,17.32,0.06,113.44
-0.03,88.77,0.1,16.28
-0.03,24.65,22.12,23.55
-0.02,58.73,-1.38,108.9
-0.01,38.59,2.67,115
-0.01,31.23,0.32,211.24
0,84.55,-0.5,29.69
0,73.55,-0.56,40.85
0,50.52,0.09,98.85
0,32.28,0,118.32
0,26.87,-0.16,175.11
0,11.47,28.17,579.3
0.01,48.23,0.22,33.51
0.01,58.83,0.01,81.75
0.01,43.95,-1.04,86.29
0.01,61.04,-0.64,96.13
0.01,49.81,-0.85,122.8
0.01,28.33,1.94,197.19
0.01,36.31,-0.67,236.42
0.01,36.77,-0.51,246.79
0.01,16.72,-0.11,285.1
0.01,7.26,16.19,329.64
0.01,26.5,0.05,405.54
0.01,20.94,0.16,643.4
0.02,83.34,-0.03,62.08
0.02,42.69,1.73,134.13
0.02,21.92,-0.67,140.86
0.02,10.45,0.11,871.58
0.03,43.3,0.24,83.2
0.03,26.06,0.28,256.78
0.03,22.13,0.2,473.46
0.04,82.91,-0.31,71.58
0.04,34.65,0.56,94.29
0.04,32.42,0.18,224.1
0.04,14.74,1.31,312.69
0.04,8.95,6.2,806.97
0.05,87.17,0.05,2.36
0.05,62.88,10.42,28.93
0.05,54.82,0.01,66.18
0.05,48.66,0.16,81.19
0.05,48.32,2.31,123.47
0.05,40.45,-0.32,202.3
0.05,22.98,-0.08,291.38
0.05,25.47,0.29,398.07
0.05,15,-0.37,455.29
0.05,13.7,2.02,590.97
0.06,36.51,2.79,82.89
0.06,41.37,-0.48,90.81
0.06,44.29,-1.67,129.22
0.06,60.5,0.12,137.43
0.06,51.8,0.22,141.6
0.06,44.66,0.02,214.71
0.06,6.07,2.21,800.09
0.07,39.17,-0.5,99.39
0.07,52.26,-0.93,100.09
0.07,51.19,0.1,112.02
0.07,28.77,0.53,160.75
0.07,8.74,0.67,645.02
0.07,14.7,0.79,"1,257.53"
0.08,86,-0.09,40.94
0.08,28.48,-0.25,159.33
0.08,13.92,-0.21,461.46
0.09,69.95,0.22,17.75
0.09,40.5,3.06,78.59
0.09,43.11,-2.45,88.09
0.09,52.05,0.53,92.71
0.09,19.73,16.41,136.03
0.09,36.57,-0.9,183.81
0.09,11.98,0.67,807.03
0.1,34.81,1,53.28
0.1,62.4,0.51,57.15
0.1,49.78,-0.45,84.29
0.1,51.42,1.79,166.16
0.11,49.58,1.05,27.91
0.11,50.72,-0.77,43.79
0.11,73.68,0.12,107.74
0.11,54.18,1.83,116.46
0.11,49.84,1.42,178.51
0.11,17.2,-1.49,460.34
0.11,25.29,1.36,906.87
0.12,70.73,0.23,24.64
0.12,34.63,-1.46,57.14
0.12,57.97,0.33,106.37
0.12,50.04,0.37,125.53
0.12,22.14,0.5,299.03
0.12,38.52,1.58,312.84
0.13,81.94,0.52,39.49
0.13,47.36,0.12,64.62
0.13,63.18,0.45,70.35
0.13,44.97,0.17,84.69
0.13,67.31,-0.27,110.6
0.13,57.05,0.4,116.41
0.13,15.26,1.18,162.27
0.13,11.61,-1.85,729.16
0.14,46.53,3.18,18.14
0.14,52.58,0.29,30.95
0.14,37.71,1.47,58.79
0.14,51.31,1.51,65.79
0.14,70.69,-0.38,76.02
0.14,38.27,1.44,144.01
0.14,12.94,0.35,"1,231.5"
0.15,74.75,0.51,54.62
0.15,53.57,-0.78,84.51
0.15,69.45,1.57,92.81
0.15,30.23,2.24,101.08
0.15,37.16,1.68,110.35
0.16,75.11,0.11,19.16
0.16,37.03,-4.94,71.47
0.16,32.9,0.71,111.24
0.16,51.12,-0.53,117.17
0.16,21.67,1.53,168.53
0.16,33.46,0.02,270.72
0.16,61.62,0.32,461.17
0.17,54.53,1.26,24.57
0.17,61.98,-0.55,55.13
0.17,49.4,-0.02,167.27
0.17,24.31,0.83,302.72
0.18,59.42,0.13,78.32
0.18,56.61,0.31,84.03
0.18,32.2,0.72,90.03
0.19,9.02,14.55,"2,238.16"
0.2,35.95,-6.47,16.31
0.2,59.7,0.88,56.82
0.2,35.81,1.27,233.57
0.2,11.14,-1.02,242.49
0.2,13.72,0.7,409.85
0.21,135.15,6.3,21.96
0.21,19.01,1.07,73.02
0.21,25.49,1.3,191.2
0.21,9.29,1.42,977.05
0.21,3.77,0.78,"2,910.13"
0.22,31.31,3.71,193.22
0.23,62.3,0.48,45.9
0.23,64.93,0.69,83.33
0.23,14.9,-0.09,166.9
0.24,26.4,-0.3,97.19
0.24,22.51,2.03,110.4
0.24,50.9,1.86,116.31
0.24,44.65,0,199.6
0.24,16.42,1.03,"1,380.08"
0.25,52.71,0.97,61.92
0.25,67.1,0.42,86.6
0.25,46.19,1.01,166.74
0.25,46.57,0.32,181.61
0.26,66.37,0.98,61.2
0.26,23.65,2.99,65.17
0.26,24.16,1.51,140.66
0.26,54.67,0.86,158.79
0.27,58.84,1.04,27.87
0.27,51.68,1.37,65.1
0.27,37.3,2.88,103.36
0.27,43.13,0.08,124.57
0.27,43.05,1.39,125.75
0.27,8.23,4.87,533.83
0.28,58.1,0.27,40.27
0.28,41.45,1.28,74.53
0.28,63.78,1.98,79.69
0.28,40.24,-0.06,152.9
0.28,31.77,0.93,200.48
0.28,16.34,1.94,365.67
0.29,65.77,0.89,77.36
0.29,22.14,8.23,149.54
0.29,12.16,2.24,236.25
0.3,56.41,-1.61,42.33
0.3,42.21,1.24,168.88
0.3,17.12,1.63,427.96
0.31,37.3,1.36,108.42
0.31,15.16,2.69,618.17
0.31,15.53,1.22,705.84
0.31,9.44,8.61,"1,376.93"
0.32,58.8,-0.35,52.83
0.32,63.02,3.4,100.98
0.32,39.84,0.63,106.26
0.32,43.51,0.6,300.16
0.32,30.29,3.21,316.68
0.32,8.56,2.34,538.4
0.33,56.88,0.88,30.96
0.33,50.61,-9.58,95.09
0.33,51.26,1.35,140.08
0.33,11.92,1.97,367.44
0.33,10.12,1.33,367.92
0.33,15.18,2.49,540.86
