yield,current,total,roa
3.93,114.19,-9.79,2.67
0,149.97,-9.74,-1.11
0,271.78,-9.52,-3.94
0,75.92,-9.47,-0.68
0,363.7,-9.46,-25.01
2.63,233.48,-9.4,3.99
4.64,134.54,-9.29,0.79
0.6,238.18,-9.18,1.09
5.28,244.55,-9.18,7.37
0,275.5,-8.84,1.69
0,81.11,-8.83,-4.71
0,631.53,-8.72,-0.53
1.22,154.58,-8.64,-0.6
4.8,174.59,-8.21,7.23
1.27,245.09,-8.18,0.34
0,915.18,-8.07,1.19
2.46,150.02,-7.85,1.36
1.59,219.34,-7.84,0.76
3.72,205.51,-7.72,4.16
0,78.73,-7.71,2.17
1.76,136.65,-7.46,2.83
2.32,777.33,-7.33,1.47
2.5,428.1,-7.21,2.9
2.88,212.28,-7.11,5.78
5.65,301.69,-7.09,8.35
2.56,228.6,-6.98,-2.93
0,168.7,-6.85,1.81
2.9,182.09,-6.79,2.74
0,145.94,-6.78,1.37
2.91,278.86,-6.76,2.06
3.12,118.76,-6.67,3.44
0,618.96,-6.64,1.67
1.76,109.09,-6.6,-0.45
5.13,187,-6.58,9.16
0,541.6,-6.47,0.52
1.31,237.79,-6.46,3.5
0.29,316.57,-6.39,2.42
0,284.2,-6.31,1.12
0,168.16,-6.21,-5.04
0.75,272.27,-6.18,-4.63
0,228.4,-6.14,3.05
0,249.9,-6.09,-2.1
0,89,-6.08,12.71
0,124.03,-6.07,-3.06
2.55,294.3,-6.07,10.98
4.52,178.37,-6.05,1.47
3.34,288.7,-6.05,4.61
6.94,"1,486.62",-5.85,-1.14
0,"1,380.97",-5.84,-2.93
2.39,180.8,-5.8,2.93
2.45,679.59,-5.8,4.56
1.42,93.64,-5.77,2.13
0,102.9,-5.77,-1.21
1.94,912.91,-5.73,0.96
0,92.25,-5.71,-0.46
0,264.87,-5.71,-2.71
1.74,182.03,-5.55,3.93
2.49,120.26,-5.54,1.32
2.59,203.57,-5.36,0.84
0,263.94,-5.31,-5.33
5.59,147.57,-5.3,3.51
1.14,211.44,-5.3,1.6
5.17,206.26,-5.29,3.12
0,201.28,-5.24,-0.19
7.01,131.8,-5.21,-0.04
2.99,206.01,-5.19,1.84
0,326.96,-5.17,-0.51
0,986.33,-5.15,-6.89
0,521.81,-4.98,-3.07
4.85,622.1,-4.98,5.2
0,261.16,-4.79,-3.99
0.99,219.41,-4.74,1.86
0.78,263.77,-4.72,2.74
0.59,190.05,-4.71,0.26
4.35,254.59,-4.48,5.85
0,46.66,-4.42,-6.76
1.84,265.31,-4.31,7.36
0.47,148.05,-4.27,-2.33
2.12,364.97,-4.26,1.94
0,111.91,-4.24,0.98
0,399.11,-4.19,5.94
3.14,352.06,-4.11,2.53
5.92,252.16,-4.08,5.38
0,182.66,-4.06,2.96
2.71,178.88,-4.03,0.97
0,250.76,-4,-2.01
0,432.96,-3.98,2.78
0,552.47,-3.98,-3.05
4.33,318.89,-3.96,2.99
1.88,390.23,-3.96,0.51
4.43,277.86,-3.94,4.19
3.1,316.97,-3.93,3.85
5.33,130.29,-3.92,2.76
0,251.97,-3.85,2.13
2.73,311.76,-3.85,0.15
1.16,483.64,-3.84,0.58
2.49,238.65,-3.79,2.77
0,281.56,-3.79,-0.38
2.33,474.85,-3.79,2.72
1.92,284.37,-3.77,-1.6
4.42,259.72,-3.75,1.13
1.48,110.69,-3.71,1.85
3.07,131.62,-3.7,2.07
0,141.62,-3.67,-0.84
2.92,207.9,-3.61,4.28
2.29,217.69,-3.57,-0.49
1.72,215.63,-3.53,5.02
0,173.75,-3.49,-0.34
1.44,106.24,-3.45,0.78
4.56,95.91,-3.42,4.56
1.01,162.07,-3.41,1.49
0,345.58,-3.38,-4.23
0.96,189.43,-3.33,0.81
5.1,447.39,-3.26,0.62
3.1,99.84,-3.25,1.35
0,160.28,-3.25,-0.74
0.82,259.39,-3.24,6.07
1.12,149.06,-3.22,1.54
0,313.69,-3.18,1.18
0,475.91,-3.06,0.53
6.24,103.81,-3.05,1.13
0,235.01,-2.95,1.79
0,236.79,-2.95,2.04
4.05,160.48,-2.93,5.22
2.83,317.59,-2.93,2.41
4.11,182.35,-2.88,1.43
0.38,"2,670.31",-2.87,-0.68
0.36,244.59,-2.85,0.92
2.45,157.25,-2.81,9.87
5.28,206.16,-2.74,9.5
3.82,434.06,-2.68,6.8
2.14,167.18,-2.66,0.29
2.12,"1,250.1",-2.6,3.63
0,118.54,-2.43,-1.36
1.1,185.83,-2.43,2.21
0,166.77,-2.4,-0.75
0.53,109.06,-2.38,7.9
0,144.42,-2.29,-1.9
5.02,166.42,-2.28,0.99
0.73,118.64,-2.27,1.25
1.03,337.21,-2.25,2.48
0.8,"1,202.63",-2.22,1.49
0,50.36,-2.21,1.31
4.48,187.37,-2.15,4.3
6.32,362.69,-2.15,4.25
2.03,255.52,-2.13,6.43
0,68.34,-2.1,-1.9
4.5,135.72,-2.08,5.94
1.94,53.21,-2.01,-1.51
2.9,539.3,-2.01,3.46
0,"9,506.86",-1.98,-0.31
1.16,63.59,-1.97,1.18
1.6,178.59,-1.96,2.62
4.64,268.74,-1.93,7.85
0,866.71,-1.93,-2.32
3.44,148.84,-1.87,8.29
1.04,314.16,-1.82,1.89
3.29,390.21,-1.82,3.46
3.68,121.38,-1.79,2.64
0.31,232.82,-1.79,0.91
3,430.74,-1.77,-0.19
0,"2,965.57",-1.77,0.16
4.02,150.23,-1.72,2.18
1.37,142.35,-1.63,2.74
5.32,238.09,-1.6,2.86
0,58.7,-1.57,-12.65
0,75.99,-1.57,-4.17
0.63,182.16,-1.57,0.64
2.43,311.08,-1.51,2.38
2.83,126.27,-1.49,0.93
6.64,509.37,-1.48,8.4
0,125.45,-1.45,0.06
0,132.71,-1.44,-1.93
0.79,217.95,-1.44,1.39
4,260.78,-1.41,4.52
5.21,213.62,-1.39,7.6
1.78,656.1,-1.38,2.03
4.07,122.11,-1.32,2.41
3.13,221.77,-1.27,3.92
2.81,254.61,-1.25,3.46
3.55,176.05,-1.24,5.71
0,222.65,-1.21,-3.18
0,345.15,-1.12,3.21
1.97,182,-1.11,0.67
3.71,229.04,-1.08,2.46
2.19,146.52,-1.07,0.95
1.46,195.82,-1.04,1.82
0,261.83,-1.01,0.52
0,69.84,-0.98,4.78
0.8,100.6,-0.95,1.79
4.2,294.07,-0.88,2.12
2.6,107.21,-0.86,0.38
2.77,130.83,-0.84,5.33
4.04,204.98,-0.78,1.78
6.03,148.13,-0.69,4.2
1.76,177.69,-0.69,0.89
2.62,85.31,-0.66,4.17
0,101.4,-0.61,-6.17
3.77,185.66,-0.59,10.8
1.83,100.42,-0.58,-0.12
0,231.29,-0.54,-0.45
2.67,278,-0.54,4.56
0.99,123.88,-0.52,-0.7
0.95,132.39,-0.51,2.57
0.78,221.52,-0.5,1.2
2.41,686.85,-0.49,2.53
2.79,458.84,-0.46,1.82
3.1,152.19,-0.45,2.72
5.26,198.48,-0.43,10.43
2.78,213.93,-0.42,5.48
1.42,160.79,-0.38,2.37
1.17,217.11,-0.37,2.28
0.78,353.67,-0.37,1.46
2.52,146.83,-0.36,4.07
0,220.6,-0.3,4.59
0,"1,173.76",-0.3,-2.99
0,69.98,-0.28,-0.91
1.55,180.65,-0.26,1.24
4.87,128.78,-0.25,1.3
6.36,149.69,-0.22,3.91
0,47.22,-0.19,-0.32
5.27,229.74,-0.18,5.44
1.81,99.52,-0.07,0.95
0,"1,274.82",-0.07,0.38
0,162.39,-0.03,3.66
1.66,"1,933.67",-0.01,0.86
2.31,373.66,0,5.12
0,445.34,0.03,-0.68
2.34,216,0.04,1.92
2.62,221.43,0.04,4.79
3.53,244.21,0.08,2.05
5.29,246.31,0.09,4.44
0.71,153.54,0.1,2.93
0,145.57,0.15,-0.18
1.46,134.32,0.16,2.18
1.86,189.63,0.26,3.86
1.08,212.83,0.26,0.82
3.23,270.9,0.37,2.97
5.61,162.68,0.38,6.5
0.16,94.42,0.43,1.47
0,125.11,0.48,2.18
6.42,89.68,0.54,2.52
5.04,138.56,0.54,-0.46
0,60.15,0.56,0.33
5.58,219.8,0.58,6.62
2.55,297.71,0.58,7.62
0,177.58,0.6,1.95
3.7,198.75,0.6,5.32
0,129.29,0.62,1.71
3.79,127.7,0.64,3.79
5.35,232.53,0.66,6.48
1.33,"1,102.12",0.67,9.76
1.65,131.42,0.68,1.46
5.07,77.18,0.71,2.66
5.62,205.8,0.72,2.99
4.06,181.25,0.78,9.13
0,30.96,0.79,0.28
3.12,129.39,0.79,3.55
0,212.4,0.79,-0.4
6.09,443.92,0.79,3.83
1.69,311.13,0.85,0.51
2.56,282.37,0.86,3.62
2.85,213.81,0.88,1.89
1.03,686.16,0.89,2.06
5.43,129.12,0.91,7.57
0,207.31,0.91,-0.37
1.32,193.24,0.95,0.49
5.73,225.07,0.95,3.61
0,158.98,0.97,0.91
2.78,110.33,0.98,2.2
2.35,159.87,0.99,4.04
1.9,104.43,1.01,1.87
2.63,120.44,1.02,2.2
2.11,653.69,1.03,3.64
1.38,50.33,1.1,-4.72
2.1,103.67,1.16,1.33
1.34,662.06,1.16,2.59
0,"1,353.51",1.16,-8.83
0,"1,317.16",1.18,2.16
5.25,189.81,1.21,2.55
3.36,87.35,1.27,0.93
2.97,224.92,1.3,4.3
0.72,321.98,1.32,1.87
1.52,246,1.36,1.16
2.1,211.66,1.37,3.98
2.09,161.72,1.41,0.32
2.92,247.12,1.44,3.85
5.15,122.12,1.47,6.52
2.48,160.83,1.47,-1.62
4.04,224.31,1.47,4.4
1.48,376.21,1.47,0.59
0,"1,320.03",1.48,1.68
3.57,342.54,1.49,3.92
4.26,311.47,1.5,1.86
0,128.18,1.51,-2.29
3.08,117.47,1.55,4.02
6.19,85.67,1.56,0.62
1.08,141.86,1.56,1.48
3.46,130.05,1.59,2.9
2.03,134.8,1.64,1.7
4.25,136.01,1.68,4.54
3.13,123.78,1.7,1.58
1.3,604.5,1.71,1.54
5.81,162.86,1.73,6.3
4.97,312.67,1.75,6.74
2.91,353.92,1.77,3.66
5.4,147.68,1.84,2.48
0,243.74,1.85,0.62
1.5,123.44,1.87,1.16
2.66,139.06,1.87,3.17
0,148.92,1.88,-0.08
0,97.18,1.95,2
4.58,192.09,1.97,2.25
2.25,171.12,1.99,4.37
6.64,166.87,2.01,6.6
4.98,272.57,2.01,5.43
1.79,205.89,2.02,8.8
3.62,145.04,2.08,3.09
4.79,146.93,2.08,4.99
3.38,225.27,2.08,6.12
4.5,224.76,2.11,7.02
0,"1,278.22",2.12,4.46
4.99,160.49,2.15,4.09
3.73,257.72,2.15,0.36
2.51,152.13,2.26,2.61
4.72,160.92,2.27,5.15
3.77,156.3,2.34,3.27
0,160.12,2.35,4.97
1.18,317.01,2.43,5.64
1.82,164.9,2.46,0.45
4.67,136.64,2.53,3.33
0,190.56,2.54,-5.42
0,139.03,2.58,-0.78
2.87,202.4,2.59,4.86
2.03,168.25,2.64,1.83
0.3,141.15,2.66,2.11
6.22,141.9,2.66,5.11
0,173.78,2.69,-0.65
0,131.13,2.73,2.22
3.15,24.59,2.74,3.26
0,444.62,2.77,0.42
0,116.52,2.79,1.37
2.85,139.2,2.79,1.29
3.98,274.54,2.8,7.27
1.49,150.41,2.84,0.05
4.2,162.84,2.85,4.65
3.48,"1,519.16",2.86,6.09
1.69,186.56,2.89,3.63
2.84,224.92,2.96,3.63
4.11,131.33,2.99,2.63
2.55,199.88,2.99,6.31
4.04,69.39,3.03,7.14
2.72,179.35,3.05,5.82
3.69,174.96,3.08,4.38
4.24,233.35,3.09,7.62
1.24,152.56,3.11,1.85
2.91,87.89,3.12,2.24
3.93,124.68,3.13,9.75
2.28,244.9,3.16,4.1
3.79,103.71,3.18,-1.87
5.97,147.9,3.18,2.6
0.75,146.32,3.22,-0.91
2.53,228.33,3.25,3.18
2.06,336.01,3.26,3.35
5.42,171.2,3.28,3.81
4.34,416.71,3.34,8.04
2.23,931.02,3.38,3.4
1.56,111.77,3.39,3.81
0,173.77,3.46,4.08
3.01,361.92,3.48,3.99
0.77,582.09,3.48,4
0,"7,215.22",3.51,2.17
0.87,182.37,3.53,7.75
1.35,169.28,3.54,4.78
3.8,104.7,3.57,2.13
1.53,166.28,3.59,3.89
6.3,170.03,3.59,5.05
0.57,116.22,3.61,1.34
2.13,191.03,3.63,3.28
2.97,367.28,3.63,5.01
0,126.35,3.64,3.45
2.16,309.25,3.65,3.28
2.5,103.01,3.67,3.35
4.25,150.05,3.67,0.7
0.48,264.57,3.69,2.83
3.2,120.94,3.73,2.93
4.44,306.12,3.83,3.93
0,198.6,3.88,4.73
4.46,341.13,3.89,6.17
1.63,210.84,3.91,3.88
2.77,89.77,3.94,5.22
4.5,620.09,3.95,2.93
4.6,437.23,3.96,5.08
0,176.29,3.97,1.8
6.45,124.45,3.98,2.83
3.75,192.26,3.98,1.1
1.46,270.6,3.99,1.21
4.89,318.3,3.99,10.49
2.84,132.34,4.01,10
2.62,215.19,4.03,3.98
1.67,165.45,4.04,2.93
6.37,41.22,4.06,1.33
2.73,178.04,4.08,5.21
2.82,447.26,4.1,9.96
3.08,153.48,4.11,3.34
6.09,111.37,4.13,4.37
5.17,212.88,4.16,5.73
6.35,82.34,4.2,3.82
0,81.26,4.23,-4.16
3.97,256.27,4.23,7.04
1.7,211.43,4.28,2.41
2.77,134.77,4.29,8.57
3.83,144.88,4.33,3.66
2.78,332.37,4.36,4.72
4.08,100.96,4.38,1.1
4.78,159.28,4.39,3.07
6.06,184.76,4.39,4.27
0.82,362.94,4.39,2.16
0.9,121.89,4.4,0.63
2.26,311.37,4.42,0.75
3.85,337.27,4.43,3.31
5.43,223.75,4.45,5.69
3.29,177.29,4.47,5.83
2.91,328.67,4.51,5.84
4.18,181.3,4.52,5.06
5.87,156.22,4.55,2.76
1.27,126.72,4.58,1.71
3.69,285.65,4.63,3.87
2.9,128.22,4.66,2.24
0,114.76,4.67,2.82
0,307.85,4.68,3.23
5.47,279.61,4.72,7.44
4.03,108.73,4.74,2.69
4.31,137.54,4.75,4.87
4.15,270.15,4.76,5.68
3.25,203.69,4.78,3.77
3.67,81.41,4.79,9.93
4.54,246.6,4.79,5.15
5.62,285.4,4.86,12.91
3.64,216.28,4.94,9.83
2.83,146.24,4.96,3.32
0,447.67,4.97,8.23
1.24,"4,899",4.97,5.86
2.54,160.71,5,2.97
2.71,869.89,5.03,4.62
3.74,137.72,5.06,5.59
1.75,121.12,5.11,1.24
2.52,222.24,5.14,5.22
2.09,318.63,5.15,3.84
2.95,62.09,5.18,4.76
3.65,190.43,5.18,1.32
1.79,92.98,5.19,5.65
4.5,284.93,5.21,4.02
0,575.23,5.21,2.99
1.2,"1,100.14",5.25,0.45
2.56,477.26,5.26,4.27
5.26,194.01,5.27,7.2
4.58,251.96,5.29,6.11
2.82,187.73,5.3,2.11
0,185.42,5.32,0.75
0,85.67,5.41,1.99
2.52,160.64,5.43,3.28
0,192.14,5.44,2.68
1.98,481.51,5.45,4.29
3.95,98.98,5.46,5.29
0,121.23,5.52,-20.15
5.72,147.37,5.53,6.57
5.63,157.61,5.54,6.97
1.51,114.16,5.57,-0.06
2.55,160.13,5.58,3.48
0,866.16,5.58,1.13
4.26,170.83,5.61,8.51
3.9,189.97,5.63,9.44
3.15,315.17,5.66,2.48
0,355.2,5.69,1.47
1.74,138.89,5.73,0.02
2.43,216.46,5.73,3.74
3.53,158.76,5.75,6.17
2.36,254.41,5.77,8.81
2.23,143.95,5.78,3.13
3.64,153.23,5.85,5.26
4.35,164.64,5.87,1.58
0.85,174.95,5.9,7.5
1.12,190.74,5.9,2.79
2.82,217.6,5.97,3.34
0.53,134.26,6,3.08
1.03,163.98,6,2.91
1.82,141.16,6.01,4.1
2.69,192.15,6.02,5.4
1.81,330.7,6.02,5.32
2.53,213.4,6.08,1.53
4.22,284.65,6.09,8.48
5.39,165.81,6.1,5.85
3.58,198.77,6.13,4.89
2.73,193.17,6.15,4.96
4.17,149.24,6.18,5.64
3.09,387.5,6.19,2.31
0,94.45,6.21,1.66
0,158.95,6.23,-1.96
3.91,347.78,6.23,5.41
4.3,159.57,6.24,8.53
3.66,260.23,6.25,5.84
4.29,315.57,6.29,5.6
1.93,524.34,6.31,4.5
3.94,173.11,6.32,4.65
1.79,206.81,6.33,-2.27
1.19,157.03,6.35,4.44
1.8,54.59,6.36,1.38
3.76,224.74,6.36,4.85
2.15,250.79,6.4,4.19
2.05,953.87,6.41,5.64
4.49,202.5,6.45,8.17
2.58,404.55,6.48,5.09
4.69,261.68,6.52,3.71
4.04,153.98,6.53,6.61
0.75,182.96,6.53,2.63
2.67,239.25,6.53,8.27
4.69,147.35,6.54,1.43
4.1,152.44,6.57,3.18
3.69,92.81,6.59,3.42
4.45,108.98,6.59,5.49
4.2,134.02,6.64,1.95
4.5,151.53,6.65,3.48
2.61,162.25,6.67,3.95
1.78,"1,303.85",6.7,5.49
4.29,372.76,6.78,5.26
0.96,145.1,6.79,0.93
4.98,422.15,6.81,7.13
3.14,205.84,6.86,6.57
1.15,249.17,6.86,2.2
5.05,269.62,6.89,5.2
1.86,195.68,6.9,3.65
4.66,185.94,6.92,10.24
4.87,349.96,6.92,6.47
1.38,203.49,6.93,0.44
1.91,61.96,6.94,1.34
0,134.92,6.95,1.64
1.82,754.5,6.96,4.3
3.27,136.67,6.97,1.2
3.7,160.44,6.99,6.63
3,255.12,7.04,4.1
0,124.84,7.06,0.87
3.42,106.38,7.09,3.84
4.55,197.09,7.11,3.66
1.08,162.92,7.12,1.24
0,146.26,7.14,5.96
2.55,199.18,7.14,10.94
4.36,115.81,7.15,1.59
3.12,117.88,7.16,5.28
4.65,206.21,7.17,2.92
0,151.98,7.19,0.95
0,287.76,7.21,1.89
5.48,184.86,7.23,10.34
4.26,183.68,7.26,3.48
2.1,280.98,7.26,3.32
0,"1,647.76",7.3,-6.8
3.8,132.03,7.32,5.11
4.33,187.75,7.32,9.48
2.55,257.96,7.32,3.91
3.21,"1,162.99",7.33,6.35
3.85,93.93,7.35,4.31
3.03,123.07,7.35,4.72
5.29,479.55,7.44,7.16
1.7,224.26,7.45,-1.16
3.65,119.38,7.49,0.9
3.59,197.62,7.51,7.52
3.74,420.89,7.52,6.32
1.82,106.9,7.53,4.03
2.62,104.63,7.57,4.41
4.72,106.6,7.58,3.24
1.99,149.98,7.58,1.98
1.96,181.16,7.58,3.62
3.46,358.96,7.58,7.44
1.96,178.43,7.66,5.69
1.15,180.35,7.67,3.73
3.74,138.18,7.72,5
3.07,234.33,7.76,2.54
6.32,123.79,7.77,-0.03
2.08,164.51,7.83,8.02
0,114.01,7.84,-1.35
3.53,160.23,7.85,1.87
1.74,157.26,7.86,4.32
6.6,112.95,7.9,4.29
3.21,84.39,7.99,3.59
6.9,257.9,7.99,4.07
0,101.07,8.02,1.03
5.38,412.21,8.1,5.01
2.37,87.32,8.11,-0.24
5.93,223.9,8.18,4.58
0,168.98,8.19,-0.07
3.83,99.67,8.22,2.37
4.31,127.02,8.22,5.3
3.66,113.98,8.3,2.38
0.88,132.42,8.31,3.04
4.44,305.76,8.31,7.73
0,"2,420.71",8.31,-1.31
2.87,73.17,8.33,0.28
1.27,214.37,8.36,-1.3
2.94,216.28,8.39,2.54
2.59,190.21,8.5,4.4
5.71,198.52,8.5,6.57
4.84,236.64,8.55,6.81
0,60.51,8.57,7.75
3.98,172.42,8.58,2.95
0.13,203.13,8.58,0.48
1.33,189.99,8.61,8.36
1.91,127.93,8.64,8.51
0.75,163.67,8.64,1.2
4.82,517.45,8.67,9.96
3.75,147.07,8.68,0.17
0,104.79,8.8,4.74
2.7,195.43,8.81,9.46
4.22,148.83,8.83,3.23
2.13,80.13,8.84,6.16
1.94,199.78,8.9,4.39
1.69,335.36,8.91,7.55
3.66,304.89,8.92,6.98
0.89,171.32,9,3.54
0,15.63,9.07,-0.06
3.13,436.81,9.11,6.44
3.24,210.29,9.14,6.96
5.6,129.72,9.18,2.31
5.16,375.19,9.19,6.6
3.29,84.17,9.3,3.52
1.65,326.27,9.33,0.84
1.5,215.73,9.34,6.53
2.89,184.02,9.35,5.1
1.81,528.49,9.36,5.78
2.9,104.96,9.37,3.97
2.05,201.06,9.38,5.12
3.03,181.55,9.49,5.15
3.47,476.71,9.58,8.4
3.03,119.97,9.7,3.48
5.45,162.96,9.7,5.18
2.73,108.17,9.76,0.82
3.28,122.77,9.76,1.15
4.2,186.32,9.76,8.04
0.62,305.02,9.79,1.17
3.98,226.71,9.82,4.99
4.69,217.83,9.84,8.87
0,125.16,9.86,-3.19
2.86,148.09,9.93,5.1
1.12,125.25,10,0.96
1.66,178.61,10.03,6.43
0.66,541.99,10.05,3.29
1.43,164.26,10.06,5.05
2.61,196.12,10.11,2.53
2.53,176.21,10.15,3.47
2.43,149.72,10.18,3.5
3.04,217.13,10.2,3.6
7.44,149.23,10.29,2.37
2.43,124.72,10.3,4.16
2.19,169.31,10.3,4.85
1.02,173.24,10.3,0.9
2.79,130.87,10.31,5.05
3.9,134.04,10.4,8.54
4.87,122.67,10.42,7.37
4.94,164.82,10.45,2.87
6.12,264.73,10.47,5.05
1.81,171.51,10.51,6.03
2.11,287.32,10.52,5.47
0,84.6,10.53,0.38
0,126.36,10.53,0.91
0.43,152.41,10.58,1.76
2.46,440.91,10.75,6.8
3.08,273.2,10.78,10.79
3.3,102.74,10.81,0.86
5.13,348.5,10.84,8.06
0.42,945.62,10.98,6.35
0,199.18,11.04,-1.25
0,16.6,11.07,1
2.69,214.36,11.07,5.77
3.95,101.16,11.19,3.7
0,113.12,11.22,0.88
1.58,203.55,11.22,0.28
4.09,130.45,11.26,2.06
2.61,138.38,11.35,4.26
3.25,247.74,11.41,8.92
0.84,207.45,11.42,7.38
4.86,412.32,11.43,2.79
1.97,234.48,11.44,7.82
0,88.45,11.51,-0.32
2.91,48.61,11.58,1.3
5.42,210.44,11.6,3.91
3.01,218.32,11.61,6.18
3.64,137.14,11.63,6.58
1.72,257.2,11.64,3.79
3.92,114.27,11.77,9
1.66,195.98,11.79,5.97
0.92,180.84,11.81,1.41
0,191.5,11.81,2.91
1.92,525.03,11.81,4.08
0,152.73,11.86,-1.76
3.31,160.17,11.87,2.1
0,120.58,11.94,4.42
2.19,137.6,11.95,2.28
3.87,108.62,11.98,1.59
4.84,130.8,11.98,5.92
2.46,459,12,11.26
1.92,168.21,12.02,1.89
2.93,174.36,12.04,0.9
3.44,115.08,12.07,8.37
2.88,122.9,12.07,4.85
0,134.48,12.1,5.3
4.38,200.45,12.15,8.38
0,66.81,12.17,-0.6
2.06,555.01,12.23,3
4.19,216.31,12.24,6.47
3.43,167.02,12.26,7.2
0,178.98,12.32,1.22
2.93,117.4,12.41,6.98
1.09,136.81,12.44,1.69
1.42,207.19,12.46,3.69
5.65,274.22,12.54,5.65
1.98,245.06,12.64,2.48
5.24,154.12,12.65,7.61
4.17,233.98,12.67,10.61
11.1,167.07,12.7,9.25
2.24,128.57,12.71,1.43
1.7,163.72,12.96,2.46
3.56,201.65,12.98,13.35
3.9,211.39,13.07,7.27
2.34,179.46,13.2,3.87
1.84,169.87,13.24,4.09
3.49,162.42,13.31,4.64
1.86,257.65,13.34,9.83
2.59,261.57,13.35,7.21
1.29,155.75,13.43,0.86
1.01,225.88,13.44,3.29
3.73,202.41,13.45,7.28
5.21,83.07,13.62,3.98
0,176.48,13.67,3.96
4.61,214.12,13.83,4.37
0,178.19,13.86,-1.05
0.82,232.43,13.95,10.9
3.41,156.11,14,6.63
2.02,150.97,14.12,3.75
4.44,165.47,14.21,6.46
4.4,135.58,14.22,6.41
0,190.31,14.46,5.52
4.31,214.17,14.53,5.66
5.06,102.99,14.64,3.96
1.29,193.67,14.72,5.41
2.63,218.2,14.74,4.78
4.28,359.06,14.8,5.29
3.86,53.18,14.92,3.15
3.69,170.89,14.92,4.09
1.95,129.7,15.01,13.95
1.92,221.24,15.09,9.78
4.39,192.51,15.15,7.89
3.22,100.34,15.23,3.34
1.01,133.09,15.26,15.84
4.36,235.65,15.32,5.68
2.16,177.06,15.35,4.65
4.67,143.09,15.45,4.37
3.42,137.43,15.47,2.43
5.66,167.66,15.56,0.52
6.37,183.93,15.64,8.46
1.14,537.39,15.64,13.06
5.25,134.43,15.66,2.24
5.96,274.68,15.9,6.19
0.09,177.64,15.96,3.02
0.96,215.22,15.98,5.37
1.35,247.08,16.17,9.16
3.73,142.21,16.27,3.4
3.56,104.67,16.4,0.66
0,220.61,16.44,-1.37
2.92,300.37,16.47,7.93
0,230.5,16.49,4.5
2.38,154.29,16.5,1.91
2.02,222.57,16.52,2.93
2.01,249.14,16.58,2.89
3.05,158.79,16.74,3.26
5.88,112.24,16.79,1.24
3.57,95.85,16.83,5.53
2.11,117.73,16.87,6.39
1.54,147.82,16.88,0.64
4.69,168.93,16.9,9.74
1.36,219.2,16.93,1.65
3.57,180.24,17,4.89
6.99,354.99,17.19,9.82
0.67,246.93,17.25,3.4
2.61,199.33,17.26,8.07
2.27,96.86,17.39,0.46
2.08,192.38,17.5,3.05
2.41,185.7,17.52,6.71
1.38,159.88,17.54,4.2
0,131.3,17.62,1.35
2.34,149.38,17.69,-0.29
1.22,200.2,17.73,4.62
0,120.45,17.79,1.26
3.77,205.17,17.86,4.78
1.47,170.94,17.89,1.39
2.65,696.81,17.94,9.38
2.95,102.13,18,6.65
2.45,120.53,18.07,9.97
4.71,53.42,18.11,1.49
1.34,258.1,18.32,7.87
5.65,120.23,18.33,4.91
3.05,124.09,18.33,3.59
1.4,156.22,18.37,12.04
4.56,143.98,18.62,7.9
3.07,110.85,18.68,5.73
0,166,18.74,1.79
2.82,128.13,18.75,3.66
