Yield,Current_ratio,Class
2.29,217.69,2
4.69,217.83,2
0.79,217.95,1
2.63,218.2,2
3.01,218.32,2
1.36,219.2,1
1.59,219.34,1
0.99,219.41,1
5.58,219.8,2
0,220.6,1
0,220.61,1
1.92,221.24,2
2.62,221.43,2
0.78,221.52,1
3.13,221.77,2
2.52,222.24,2
2.02,222.57,2
0,222.65,1
5.43,223.75,2
5.93,223.9,2
1.7,224.26,1
4.04,224.31,2
3.76,224.74,2
4.5,224.76,2
2.84,224.92,2
2.97,224.92,2
5.73,225.07,2
3.38,225.27,2
1.01,225.88,1
3.98,226.71,2
1.35,228.03,1
2.53,228.33,2
0,228.4,1
0.83,228.6,1
2.56,228.6,2
3.71,229.04,2
5.27,229.74,2
0,230.5,1
0,231.29,1
0,231.44,1
1.58,232.41,1
0.82,232.43,1
5.35,232.53,2
0.31,232.82,1
0,232.86,1
2.96,233.06,2
4.24,233.35,2
2.63,233.48,2
0.32,233.91,1
4.17,233.98,2
3.69,233.99,2
3.07,234.33,2
1.97,234.48,2
2.97,234.7,2
0,235.01,1
0,235.4,1
4.36,235.65,2
4.84,236.64,2
0,236.79,1
1.31,237.79,1
5.32,238.09,2
0.6,238.18,1
2.49,238.65,2
2.67,239.25,2
2.22,242.31,2
0,242.66,1
1.12,243.18,1
1.19,243.5,1
0,243.74,1
3.53,244.21,2
5.28,244.55,2
0.36,244.59,1
0,244.84,1
2.28,244.9,2
1.98,245.06,2
1.27,245.09,1
1.04,245.9,1
1.52,246,1
5.29,246.31,2
4.54,246.6,2
0.67,246.93,1
1.35,247.08,1
2.92,247.12,2
3.25,247.74,2
2.01,249.14,2
1.15,249.17,1
4.54,249.53,2
0,249.9,1
3.34,250.17,2
0,250.76,1
2.15,250.79,2
4.58,251.96,2
0,251.97,1
0,252.11,1
5.92,252.16,2
1.25,253.88,1
2.36,254.41,2
3.82,254.42,2
4.35,254.59,2
2.81,254.61,2
3,255.12,2
2.03,255.52,2
3.97,256.27,2
1.72,257.2,1
1.86,257.65,2
3.73,257.72,2
6.9,257.9,2
2.55,257.96,2
1.34,258.1,1
0.67,258.69,1
0.46,259.38,1
0.82,259.39,1
1.38,259.49,1
4.42,259.72,2
3.66,260.23,2
4,260.78,2
0,261.16,1
2.59,261.57,2
4.69,261.68,2
0,261.83,1
0,263.43,1
0.78,263.77,1
0,263.94,1
0.48,264.57,1
6.12,264.73,2
0,264.87,1
1.84,265.31,2
4.64,268.74,2
0.92,269.57,1
5.05,269.62,2
4.15,270.15,2
1.46,270.6,1
3.23,270.9,2
0,271.78,1
5.11,271.78,2
0.75,272.27,1
4.98,272.57,2
3.08,273.2,2
5.65,274.22,2
3.98,274.54,2
5.96,274.68,2
0,275.5,1
1.28,277.55,1
4.43,277.86,2
2.67,278,2
2.91,278.86,2
5.47,279.61,2
2.1,280.98,2
0,281.56,1
1.2,282.35,1
2.56,282.37,2
2.07,282.78,2
0,284.2,1
0,284.37,1
1.92,284.37,2
4.22,284.65,2
4.5,284.93,2
5.62,285.4,2
3.69,285.65,2
1.58,286.69,1
2.11,287.32,2
4.7,287.63,2
0,287.76,1
3.34,288.7,2
4.73,292.57,2
4.2,294.07,2
2.55,294.3,2
2.55,297.71,2
2.92,300.37,2
5.65,301.69,2
0,301.76,1
3.26,302.16,2
3.66,304.89,2
0.62,305.02,1
4.44,305.76,2
4.44,306.12,2
0,307.85,1
2.16,309.25,2
5.05,309.39,2
4.34,309.73,2
2.43,311.08,2
1.69,311.13,1
2.26,311.37,2
4.26,311.47,2
2.73,311.76,2
4.97,312.67,2
0,313.69,1
1.04,314.16,1
3.15,315.17,2
4.29,315.57,2
0.29,316.57,1
3.1,316.97,2
1.18,317.01,1
2.83,317.59,2
4.89,318.3,2
2.09,318.63,2
4.33,318.89,2
0.72,321.98,1
1.65,326.27,1
0,326.96,1
2.91,328.67,2
3.15,329.02,2
2.04,329.68,2
1.81,330.7,2
2.78,332.37,2
1.69,335.36,1
2.06,336.01,2
1.03,337.21,1
3.85,337.27,2
0,339.97,1
6.86,341.09,2
4.46,341.13,2
0.87,342.38,1
3.57,342.54,2
0,345.15,1
0,345.58,1
3.91,347.78,2
5.13,348.5,2
4.87,349.96,2
3.14,352.06,2
0.78,353.67,1
2.91,353.92,2
6.99,354.99,2
0,355.2,1
2.25,357.64,2
3.46,358.96,2
4.28,359.06,2
3.01,361.92,2
6.32,362.69,2
0.82,362.94,1
0,363.7,1
1.08,364.66,1
2.12,364.97,2
2.97,367.28,2
4.29,372.76,2
2.31,373.66,2
2.52,373.82,2
13.02,374.3,2
5.16,375.19,2
1.48,376.21,1
2.07,384.56,2
1.06,385.23,1
3.09,387.5,2
3.29,390.21,2
1.88,390.23,2
0,399.11,1
2.58,404.55,2
4.26,409.94,2
5.38,412.21,2
4.86,412.32,2
4.34,416.71,2
1.71,416.85,1
3.74,420.89,2
4.98,422.15,2
2.5,428.1,2
3,430.74,2
0,432.96,1
3.82,434.06,2
1.76,434.27,2
0.93,434.83,1
3.13,436.81,2
4.6,437.23,2
2.46,440.91,2
6.09,443.92,2
0,444.62,1
0,445.34,1
2.82,447.26,2
5.1,447.39,2
0,447.67,1
0,449.95,1
2,454.82,2
2.68,456.98,2
2.79,458.84,2
2.46,459,2
0.83,460.47,1
2.33,474.85,2
0,475.91,1
3.47,476.71,2
2.56,477.26,2
5.29,479.55,2
1.98,481.51,2
1.16,483.64,1
6.64,509.37,2
4.82,517.45,2
0,521.81,1
1.93,524.34,2
1.92,525.03,2
1.81,528.49,2
1.14,537.39,1
2.9,539.3,2
0,541.6,1
0.66,541.99,1
1.38,547.38,1
0,552.47,1
2.06,555.01,2
0,575.23,1
0.77,582.09,1
1.3,604.5,1
0,618.96,1
4.5,620.09,2
4.85,622.1,2
4.56,623.47,2
0,631.53,1
2.11,653.69,2
1.78,656.1,2
1.34,662.06,1
0,662.93,1
0,667.16,1
2.45,679.59,2
1.03,686.16,1
2.41,686.85,2
2.65,696.81,2
1.82,754.5,2
0,772.78,1
2.32,777.33,2
0,789.71,1
0.75,799.61,1
0,866.16,1
0,866.71,1
2.71,869.89,2
1.94,912.91,2
0,915.18,1
2.23,931.02,2
0.42,945.62,1
2.05,953.87,2
0,986.33,1
1.38,"1,015.04",1
1.2,"1,100.14",1
1.33,"1,102.12",1
3.21,"1,162.99",2
0,"1,173.76",1
0.8,"1,202.63",1
2.12,"1,250.1",2
0,"1,274.82",1
0,"1,278.22",1
1.78,"1,303.85",2
0,"1,317.16",1
0,"1,320.03",1
0,"1,353.51",1
0,"1,380.97",1
6.94,"1,486.62",2
3.48,"1,519.16",2
0.69,"1,596.22",1
1.66,"1,933.67",1
0,"2,420.71",1
0.38,"2,670.31",1
0,"2,675.96",1
0,"2,686.3",1
0,"2,965.57",1
1.24,"4,899",1
0,"5,936.01",1
0,"7,215.22",1
0,"9,506.86",1
0,"10,424.13",1
